k,b_norm_griebel_innovation_mean,b_norm_griebel_innovation_q05,b_norm_griebel_innovation_q50,b_norm_griebel_innovation_q95,b_norm_radial_mean,b_norm_radial_q05,b_norm_radial_q50,b_norm_radial_q95,b_norm_x_mean,b_norm_x_q05,b_norm_x_q50,b_norm_x_q95,b_norm_y_mean,b_norm_y_q05,b_norm_y_q50,b_norm_y_q95,b_norm_comp_mean,b_norm_comp_q05,b_norm_comp_q50,b_norm_comp_q95,b_norm_overall_mean,b_norm_overall_q05,b_norm_overall_q50,b_norm_overall_q95,d_norm_griebel_innovation_mean,d_norm_griebel_innovation_q05,d_norm_griebel_innovation_q50,d_norm_griebel_innovation_q95,d_norm_radial_mean,d_norm_radial_q05,d_norm_radial_q50,d_norm_radial_q95,d_norm_x_mean,d_norm_x_q05,d_norm_x_q50,d_norm_x_q95,d_norm_y_mean,d_norm_y_q05,d_norm_y_q50,d_norm_y_q95,d_norm_comp_mean,d_norm_comp_q05,d_norm_comp_q50,d_norm_comp_q95,d_norm_overall_mean,d_norm_overall_q05,d_norm_overall_q50,d_norm_overall_q95,p_ok_griebel_innovation_mean,p_ok_griebel_innovation_q05,p_ok_griebel_innovation_q50,p_ok_griebel_innovation_q95,p_ok_radial_mean,p_ok_radial_q05,p_ok_radial_q50,p_ok_radial_q95,p_ok_x_mean,p_ok_x_q05,p_ok_x_q50,p_ok_x_q95,p_ok_y_mean,p_ok_y_q05,p_ok_y_q50,p_ok_y_q95,p_ok_comp_mean,p_ok_comp_q05,p_ok_comp_q50,p_ok_comp_q95,p_ok_overall_mean,p_ok_overall_q05,p_ok_overall_q50,p_ok_overall_q95,u_griebel_innovation_mean,u_griebel_innovation_q05,u_griebel_innovation_q50,u_griebel_innovation_q95,u_radial_mean,u_radial_q05,u_radial_q50,u_radial_q95,u_x_mean,u_x_q05,u_x_q50,u_x_q95,u_y_mean,u_y_q05,u_y_q50,u_y_q95,u_comp_mean,u_comp_q05,u_comp_q50,u_comp_q95,u_overall_mean,u_overall_q05,u_overall_q50,u_overall_q95,griebel_multinomial_dc_mean,griebel_multinomial_dc_q05,griebel_multinomial_dc_q50,griebel_multinomial_dc_q95,griebel_multinomial_uncertainty_mean,griebel_multinomial_uncertainty_q05,griebel_multinomial_uncertainty_q50,griebel_multinomial_uncertainty_q95,griebel_multinomial_threshold_mean,griebel_multinomial_threshold_q05,griebel_multinomial_threshold_q50,griebel_multinomial_threshold_q95,dc_josang_history_mean,dc_josang_history_q05,dc_josang_history_q50,dc_josang_history_q95,dc_norm_history_mean,dc_norm_history_q05,dc_norm_history_q50,dc_norm_history_q95,nis_score_mean,nis_score_q05,nis_score_q50,nis_score_q95,nis_lower_band_mean,nis_lower_band_q05,nis_lower_band_q50,nis_lower_band_q95,nis_upper_band_mean,nis_upper_band_q05,nis_upper_band_q50,nis_upper_band_q95,rmse_mean,rmse_q05,rmse_q50,rmse_q95
0,0.96,1.0,1.0,1.0,1.7763568394002506e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.5654144647214706e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.4765966227514583e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,5.880197163496203e-17,4.2921147178804404e-17,6.43817207682066e-17,8.584229435760881e-17,8.248413494130922e-17,5.649290766239101e-17,7.861834872253643e-17,9.666126868871529e-17,0.04,0.0,0.0,0.0,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999997,1.0,0.9533333333333343,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.4375,0.4375,0.4375,0.4375,0.6187184335382284,0.6187184335382292,0.6187184335382292,0.6187184335382292,0.6187184335382284,0.6187184335382292,0.6187184335382292,0.6187184335382292,0.38281250000000006,0.3828125000000001,0.3828125000000001,0.3828125000000001,0.400213068181818,0.4002130681818182,0.4002130681818182,0.40021306818181823,0.6666666666666659,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.765625,0.765625,0.765625,0.765625,0.800426136363636,0.8004261363636364,0.8004261363636364,0.8004261363636365,0.012157371493231981,0.011199117432779621,0.011243151667966163,0.013748789743267298,0.875,0.875,0.875,0.875,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.013392857142857144,0.013392857142857146,0.013392857142857146,0.013392857142857146,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1.2584786022198395,0.0682334721369624,0.773806020409105,3.8214523764763704,0.0,0.0,0.0,0.0,9.210340371976168,9.21034037197618,9.21034037197618,9.21034037197618,0.39913649143200997,0.10660792039901565,0.3590873900458784,0.7980564625248017
1,0.955,0.5,1.0,1.0,0.1316666666666666,1.249000902703301e-16,0.1666666666666669,0.1666666666666669,0.14166666666666658,1.249000902703301e-16,0.1666666666666669,0.1666666666666669,0.13833333333333325,1.249000902703301e-16,0.1666666666666669,0.1666666666666669,0.05772572269303911,0.031550716776099975,0.06984503142247296,0.06984503142247304,0.07460870800617929,0.024725573705857113,0.0927924609463196,0.09279246094631971,0.045,0.0,0.0,0.5,0.8683333333333328,0.833333333333333,0.833333333333333,0.9999999999999999,0.858333333333333,0.833333333333333,0.833333333333333,0.9999999999999999,0.8616666666666661,0.833333333333333,0.833333333333333,0.9999999999999999,0.9422742773069607,0.9301549685775268,0.930154968577527,0.9684492832239,0.9253912919938219,0.9072075390536803,0.9072075390536806,0.9752744262941427,0.9524999999999989,0.725,0.975,0.975,0.41814814814814805,0.38888888888888895,0.425925925925926,0.425925925925926,0.5814534224043509,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.5807126816636102,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.33764983160529755,0.3228384669477607,0.34457954020553505,0.3445795402055351,0.3641722926996631,0.34394958015998767,0.3718770757058506,0.3718770757058506,0.5,0.5,0.5,0.5,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.63328744241355,0.6218127780386351,0.638687284472332,0.638687284472332,0.6809698014157854,0.6716624939052913,0.6853621016155609,0.6853621016155609,0.03066431211481002,0.021545936910999087,0.02960416050957737,0.04023381966975482,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.036754850088183334,0.035273368606701924,0.035273368606701924,0.042328042328042326,0.19296296296296267,0.1851851851851851,0.1851851851851851,0.22222222222222218,1.4636268983974958,0.19065511498899287,1.0742127362466576,4.029645125344616,0.0,0.0,0.0,0.0,6.6383520679938055,6.638352067993811,6.638352067993811,6.638352067993811,0.3910897261513964,0.08209625264490382,0.3945286856410779,0.7458877367143447
2,0.9533333333333333,0.6666666666666667,1.0,1.0,0.2583333333333335,0.1666666666666668,0.33333333333333337,0.3333333333333336,0.27,0.1666666666666668,0.33333333333333337,0.3333333333333336,0.26,0.1583333333333335,0.33333333333333337,0.3333333333333336,0.1186836465417268,0.061823585531796586,0.10812317321074319,0.15885865281780964,0.15552118632338913,0.09072547063584672,0.16395873873200395,0.2088415821859571,0.04666666666666667,0.0,0.0,0.33333333333333337,0.7416666666666667,0.6666666666666664,0.6666666666666666,0.8333333333333333,0.7299999999999995,0.6666666666666664,0.6666666666666666,0.8333333333333333,0.7400000000000001,0.6666666666666664,0.6666666666666666,0.8416666666666661,0.8813163534582726,0.8411413471821904,0.8918768267892568,0.9381764144682033,0.8444788136766117,0.7911584178140428,0.8360412612679962,0.9092745293641531,0.9520000000000006,0.7799999999999999,0.98,0.98,0.42749999999999977,0.4,0.45,0.45000000000000007,0.5759747468305826,0.5449747468305833,0.5949747468305833,0.5949747468305834,0.5729747468305826,0.5424747468305834,0.5949747468305833,0.5949747468305834,0.32990098474606294,0.2944974746830585,0.3242462120245876,0.35399494936611675,0.36373090140624414,0.33064908734957227,0.36764709135929163,0.3889586566914548,0.39999999999999913,0.3999999999999998,0.3999999999999998,0.3999999999999999,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.5551980305078739,0.5310050506338833,0.551507575950825,0.5720101012677667,0.6054911990188222,0.5862168288030765,0.6027561457317689,0.6186222464656163,0.04433140611832828,0.02243091806391441,0.04587863173364061,0.06476055360748502,0.7000000000000013,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.3119384432880467,0.3119384432880472,0.3119384432880472,0.3119384432880472,0.057214285714285766,0.05142857142857142,0.05142857142857143,0.0642857142857143,0.22249999999999978,0.19999999999999996,0.19999999999999998,0.25,1.5495637754504634,0.33133087464821004,1.2653071727739973,3.603245814676533,0.0,0.0,0.0,0.0,5.603964609923647,5.603964609923643,5.603964609923643,5.603964609923643,0.3887401150021123,0.11073137646352003,0.37398012965300675,0.7025320812674074
3,0.9575,0.75,1.0,1.0,0.36666666666666664,0.16666666666666682,0.3333333333333334,0.5000000000000001,0.37333333333333335,0.16666666666666682,0.3333333333333334,0.5,0.3733333333333334,0.16666666666666682,0.3333333333333334,0.5,0.1837300745435109,0.10482734562728793,0.21140581199699351,0.2805493979741872,0.238515267693145,0.15242203982897937,0.24999703705732249,0.3027486289284121,0.0425,0.0,0.0,0.25,0.6333333333333331,0.49999999999999983,0.6666666666666666,0.8333333333333331,0.6266666666666663,0.5,0.6666666666666666,0.8333333333333331,0.6266666666666663,0.5,0.6666666666666666,0.8333333333333331,0.8162699254564885,0.7194506020258129,0.7885941880030065,0.895172654372712,0.7614847323068554,0.6972513710715877,0.7500029629426774,0.8475779601710206,0.9550000000000005,0.8166666666666667,0.9833333333333333,0.9833333333333333,0.451515151515151,0.37878787878787884,0.43939393939393945,0.5,0.5857346183308332,0.5105831031793182,0.5711891637853788,0.6317952243914393,0.5857346183308331,0.5105831031793182,0.5711891637853788,0.6317952243914393,0.34287347286323283,0.29163953574793855,0.360874585903742,0.3991652055638293,0.38267322648453456,0.34066767840939527,0.38868686030451877,0.41533647149667974,0.3333333333333329,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5061722461927258,0.4727356208824518,0.5179202496801194,0.5405125640789532,0.5539392535923554,0.528167837439978,0.5629746261607538,0.5790430628615006,0.05727700851224039,0.029491091132178463,0.056086782147090466,0.07927674377724452,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.32745044400535767,0.3274504440053579,0.3274504440053579,0.3274504440053579,0.07178276269185353,0.05667060212514757,0.0755608028335301,0.09445100354191263,0.23030303030303037,0.18181818181818177,0.24242424242424238,0.303030303030303,1.6697131319902505,0.522934047087237,1.6205249379221,3.1945645907776137,0.3361032717537028,0.33610327175370247,0.33610327175370247,0.33610327175370247,5.488738747664898,5.488738747664883,5.488738747664883,5.488738747664883,0.410897377232092,0.10349618120662633,0.3866425796822387,0.8505994420426412
4,0.9599999999999997,0.8,1.0,1.0,0.4650000000000002,0.33333333333333337,0.5,0.6666666666666666,0.47666666666666685,0.33333333333333337,0.5,0.6666666666666666,0.4766666666666666,0.33333333333333326,0.5,0.6666666666666666,0.2611757591262678,0.1525610105024273,0.2691773153912585,0.3551901560502659,0.3293561291368331,0.20506715251942206,0.3468373670158408,0.47094694004523663,0.04000000000000001,0.0,0.0,0.2,0.5349999999999998,0.33333333333333337,0.5,0.6666666666666666,0.5233333333333332,0.33333333333333337,0.5,0.6666666666666666,0.5233333333333332,0.33333333333333337,0.5,0.6666666666666667,0.7388242408737327,0.6448098439497341,0.7308226846087416,0.8474389894975727,0.670643870863167,0.5290530599547633,0.6531626329841592,0.7949328474805778,0.9571428571428559,0.8428571428571429,0.9857142857142857,0.9857142857142857,0.485416666666667,0.4305555555555556,0.5,0.5694444444444444,0.6110900668032645,0.5513678445810417,0.6208122890254861,0.6902567334699306,0.6110900668032645,0.5513678445810416,0.6208122890254861,0.6902567334699306,0.37319187221475353,0.30376537349473387,0.3805853673408662,0.42851986272072246,0.4166656022415076,0.34893088136139483,0.42816627842694743,0.48701912795611035,0.2857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142858,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.47601208890382657,0.43519687646732264,0.482656425812095,0.5063862004844811,0.5177261753149938,0.4877846942817943,0.522917300279377,0.5389262748319228,0.06630355202956405,0.03638771870688445,0.06886563528941035,0.09300308417293587,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3355923321934642,0.3355923321934648,0.3355923321934648,0.3355923321934648,0.07961309523809515,0.04960317460317456,0.07440476190476186,0.09920634920634917,0.22291666666666665,0.13888888888888876,0.2083333333333332,0.2777777777777777,1.6519286518771594,0.640970746978718,1.5036896537344342,3.0330902253667165,0.43117129626092776,0.43117129626092776,0.43117129626092776,0.43117129626092776,5.03763591439423,5.037635914394234,5.037635914394234,5.037635914394234,0.41224633036413677,0.1269908845510358,0.3881683020140107,0.7759334137313787
5,0.9616666666666666,0.8333333333333334,1.0,1.0,0.5350000000000001,0.3333333333333334,0.5000000000000002,0.6749999999999995,0.5516666666666666,0.3333333333333334,0.5000000000000002,0.8333333333333334,0.5566666666666668,0.3333333333333334,0.5000000000000002,0.8333333333333334,0.3309305910926767,0.20600999923215627,0.34280039986639665,0.4495157771168043,0.4043104358732094,0.2801575541483424,0.40833382846246186,0.5403671549099045,0.038333333333333316,0.0,0.0,0.16666666666666666,0.4649999999999999,0.32499999999999996,0.49999999999999983,0.6666666666666665,0.44833333333333336,0.16666666666666663,0.49999999999999983,0.6666666666666665,0.4433333333333331,0.16666666666666663,0.49999999999999983,0.6666666666666665,0.6690694089073239,0.5504842228831958,0.6571996001336033,0.7939900007678437,0.5956895641267903,0.45963284509009555,0.5916661715375381,0.7198424458516575,0.9587499999999983,0.8625,0.9875,0.9875,0.5161538461538462,0.42307692307692313,0.5000000000000001,0.5807692307692305,0.635365189869679,0.5345959591004488,0.6115190360235256,0.7653651898696795,0.6376728821773715,0.5345959591004488,0.6115190360235256,0.7653651898696795,0.404768169610851,0.32691560557117855,0.41507829750379194,0.4739525428783827,0.44961172974714086,0.38810188721701255,0.4527981924804081,0.5198484926341895,0.25,0.25,0.2500000000000001,0.2500000000000001,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.45129206314516224,0.4112575462540927,0.459784233394783,0.48404757696512823,0.48663617853034585,0.4588966234311498,0.49297083061415503,0.5083009273631136,0.07389055027527167,0.03788272267687059,0.07278535653562945,0.11342958970675412,0.5384615384615397,0.5384615384615385,0.5384615384615385,0.5384615384615385,0.3384438201986357,0.3355923321934648,0.33934429009500533,0.33934429009500533,0.08490278951817419,0.05934065934065931,0.0912933220625528,0.12172442941673711,0.2146153846153843,0.1499999999999999,0.23076923076923067,0.30769230769230765,1.6832302435343058,0.8193949330763817,1.572853772158163,2.8212886501013013,0.5123039396815564,0.5123039396815555,0.5123039396815555,0.5123039396815555,4.716586470340998,4.716586470341004,4.716586470341004,4.716586470341004,0.4110036225463601,0.11454737901466316,0.38376718743472554,0.7507685243879474
6,0.9614285714285715,0.8571428571428571,1.0,1.0,0.6083333333333331,0.3333333333333336,0.6666666666666665,0.8333333333333334,0.6016666666666668,0.4916666666666667,0.6666666666666665,0.8333333333333334,0.6216666666666666,0.4916666666666667,0.6666666666666665,0.8333333333333334,0.3904449444539978,0.2636203335589422,0.35249445817676855,0.5547846192529146,0.4738533837561394,0.3427882858187333,0.4736119235188409,0.6104412059601453,0.03857142857142856,0.0,0.0,0.14285714285714285,0.39166666666666655,0.16666666666666666,0.3333333333333334,0.6666666666666664,0.39833333333333326,0.16666666666666666,0.3333333333333334,0.5083333333333329,0.3783333333333332,0.16666666666666666,0.3333333333333334,0.5083333333333329,0.6095550555460019,0.4452153807470854,0.6475055418232315,0.7363796664410579,0.5261466162438606,0.38955879403985455,0.5263880764811589,0.6572117141812667,0.95888888888889,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.5541666666666668,0.4166666666666668,0.5833333333333333,0.6666666666666667,0.6543867239266077,0.5993867239266071,0.6868867239266071,0.7702200572599405,0.6643867239266076,0.5993867239266071,0.6868867239266071,0.7702200572599405,0.43445126835733056,0.35733225085219256,0.4145728111794098,0.5290539318338443,0.4843811621365603,0.4124501025505137,0.48559641570089984,0.5585741678405246,0.22222222222222168,0.222222222222222,0.222222222222222,0.222222222222222,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.429153018840895,0.39644660940672627,0.4208543776411806,0.4696699141100894,0.4587563029675779,0.4375,0.45416315928202544,0.48391504294495535,0.07695552280876211,0.040000065660351046,0.07905694150420951,0.1134522291024652,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.34026198395762025,0.33934429009500533,0.340352744889087,0.340352744889087,0.08392857142857134,0.03571428571428573,0.07142857142857144,0.14285714285714282,0.19583333333333328,0.08333333333333337,0.16666666666666669,0.3333333333333332,1.7066313863585858,0.8948074570964653,1.560283292883077,2.799336408006731,0.5820964224856199,0.5820964224856204,0.5820964224856204,0.5820964224856204,4.474192803227892,4.474192803227897,4.474192803227897,4.474192803227897,0.43071477137893166,0.07930647208635795,0.4083119539201847,0.8402070450419579
7,0.95875,0.875,1.0,1.0,0.6072916666666666,0.4583333333333335,0.6041666666666669,0.75,0.6037499999999999,0.45833333333333337,0.6041666666666669,0.75,0.6118749999999997,0.4583333333333335,0.6041666666666669,0.875,0.38385112865112503,0.24608858123445604,0.3839597626547012,0.5353525548704277,0.4705198320505764,0.3192621563416253,0.4739463629189279,0.5887265760119543,0.04125,0.0,0.0,0.125,0.3927083333333332,0.25,0.3958333333333332,0.5416666666666665,0.39625000000000005,0.25,0.3958333333333332,0.5416666666666666,0.388125,0.12499999999999997,0.3958333333333332,0.5416666666666665,0.616148871348875,0.46464744512957223,0.6160402373452987,0.7539114187655439,0.5294801679494235,0.41127342398804556,0.526053637081072,0.6807378436583746,0.9569999999999993,0.89,0.99,0.99,0.5572222222222225,0.47777777777777786,0.5555555555555556,0.6333333333333333,0.6519831645537217,0.5744276089981667,0.6522053867759445,0.7299831645537223,0.6563164978870555,0.5744276089981667,0.6522053867759445,0.7966498312203889,0.4277255047720828,0.33609034770895996,0.4300260004666995,0.5200218945356514,0.4820304745548526,0.39365327408883644,0.4848807234453951,0.5487419906999615,0.19999999999999965,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.46666666666666656,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.39501071885089567,0.3544612798907223,0.39698503610363833,0.4335858405583268,0.4250763067080973,0.397724777779803,0.4269027006545948,0.44902168942097087,0.0839263793149576,0.038733275120127426,0.08248091083766898,0.1241764602697201,0.4666666666666679,0.46666666666666684,0.46666666666666684,0.46666666666666684,0.3397394277259027,0.3395955632061438,0.3395955632061438,0.340352744889087,0.09574603174603186,0.06095238095238098,0.09650793650793653,0.1320634920634921,0.2094444444444443,0.1333333333333334,0.21111111111111114,0.288888888888889,1.7367870176997011,0.8842719511156711,1.6835033929701704,2.865256872361998,0.6427756803804603,0.6427756803804616,0.6427756803804616,0.6427756803804616,4.283398317228332,4.283398317228336,4.283398317228336,4.283398317228336,0.45693153019979704,0.12558210648882356,0.42790540674971034,0.8499237314636402
8,0.9588888888888882,0.8888888888888888,1.0,1.0,0.6090740740740743,0.4629629629629631,0.5925925925925927,0.8148148148148149,0.6142592592592594,0.4259259259259261,0.5925925925925927,0.7268518518518515,0.6177777777777778,0.4629629629629631,0.5925925925925927,0.8148148148148149,0.39134822023829585,0.27203548169487735,0.3997627102905418,0.5201486622026459,0.47704544324945275,0.34540923083663155,0.47643454580421796,0.5951071582613274,0.04111111111111112,0.0,0.0,0.11111111111111112,0.3909259259259262,0.18518518518518515,0.4074074074074074,0.5370370370370369,0.38574074074074055,0.27314814814814814,0.4074074074074073,0.574074074074074,0.38222222222222224,0.18518518518518515,0.4074074074074073,0.5370370370370369,0.6086517797617045,0.47985133779735406,0.6002372897094582,0.7279645183051228,0.5229545567505473,0.4048928417386724,0.5235654541957819,0.6545907691633683,0.9572727272727265,0.9,0.990909090909091,0.990909090909091,0.5613541666666666,0.47916666666666674,0.5520833333333334,0.6770833333333334,0.6548800501024481,0.548942550102448,0.642692550102448,0.7182133834357811,0.6568592167691145,0.5697758834357813,0.642692550102448,0.767692550102448,0.4299305766491237,0.34850078727111544,0.43741270094169005,0.5120965511249056,0.48543835815472675,0.40378241616778665,0.48573344043176714,0.5556786142445712,0.18181818181818188,0.18181818181818177,0.18181818181818188,0.18181818181818188,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.36901471475730846,0.33543115115221406,0.3742738260690761,0.3996350227501888,0.397985411699947,0.3756001406389216,0.4017577372794341,0.41709685425588783,0.08989173875825665,0.05236365118015611,0.09313472542812437,0.1305041546847852,0.43750000000000006,0.43750000000000017,0.43750000000000017,0.43750000000000017,0.3377023933087822,0.3376832703805253,0.3376832703805253,0.3376832703805253,0.10602120535714275,0.0502232142857143,0.11049107142857141,0.14564732142857142,0.21989583333333326,0.10416666666666669,0.2291666666666666,0.30208333333333326,1.742901107630241,0.9375124330968,1.6812728898626474,2.790176529572635,0.6960894093896066,0.6960894093896071,0.6960894093896071,0.6960894093896071,4.128494606289634,4.128494606289638,4.128494606289638,4.128494606289638,0.4914250140152569,0.10780515031842482,0.40330983649359475,1.0653814274598088
9,0.9570000000000002,0.9,1.0,1.0,0.6261666666666669,0.46583333333333343,0.6166666666666667,0.7999999999999999,0.6281666666666663,0.45,0.6333333333333333,0.7999999999999999,0.6396666666666667,0.45000000000000007,0.6333333333333333,0.7999999999999999,0.41144781884478504,0.27702136805421457,0.4180161103204424,0.5131619894522649,0.49760946450700466,0.3789917618824087,0.5090781324224548,0.5984648005744987,0.04300000000000001,0.0,0.0,0.1,0.3738333333333332,0.19999999999999998,0.38333333333333325,0.5341666666666665,0.37183333333333346,0.19999999999999998,0.3666666666666666,0.55,0.36033333333333334,0.19999999999999998,0.36666666666666664,0.5499999999999999,0.5885521811552149,0.486838010547735,0.5819838896795575,0.7229786319457854,0.5023905354929954,0.4015351994255012,0.49092186757754513,0.6210082381175913,0.9558333333333319,0.9083333333333333,0.9916666666666666,0.9916666666666666,0.5742156862745101,0.4799019607843138,0.5686274509803921,0.6764705882352942,0.6606714197042645,0.5558674981356372,0.6637106353905392,0.7617498510768137,0.6674361255866174,0.5558674981356373,0.6637106353905392,0.7617498510768137,0.44086060548675,0.34699226964628377,0.4468745992269604,0.5082458229648974,0.4977752094720346,0.4222540841338385,0.5056276632439496,0.559245405224344,0.16666666666666743,0.16666666666666707,0.16666666666666707,0.16666666666666718,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3494379585766725,0.31380092783546043,0.35163719139613714,0.3731565662962719,0.3760730212536454,0.35251087025171546,0.37787969144464006,0.3908990466731116,0.09252528577615632,0.051142500592500216,0.08623959271016668,0.14291405165706142,0.411764705882353,0.41176470588235314,0.41176470588235314,0.41176470588235314,0.3352517040737324,0.33501121949393997,0.33501121949393997,0.3376832703805253,0.11087493821057834,0.059317844784972824,0.11369253583786453,0.15842807711319826,0.21990196078431354,0.11764705882352941,0.22549019607843127,0.31421568627450974,1.783624442779568,1.029672183924667,1.7374202964941827,2.813798522187807,0.7433844262934233,0.7433844262934236,0.7433844262934236,0.7433844262934236,3.9996846312938614,3.999684631293865,3.999684631293865,3.999684631293865,0.4883152032360505,0.11266528906386072,0.4433816106040066,0.9389865848742447
