k,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.07,1,1,1,1,1,0.9433333333,0.4375,0.6187184335,0.6187184335,0.3828125,0.4002130682,0.6666666667,0.875,0.875,0.875,0.765625,0.8004261364,0.0120758803,0.875,0.2251221803,0.01339285714,0.125,1.252476324,0,9.210340372,0.4042358185
1,0.07,0.86,0.8583333333,0.8583333333,0.941440955,0.9228379015,0.94,0.42,0.5814534224,0.5814534224,0.3380983705,0.3651012445,0.5,0.7777777778,0.7777777778,0.7777777778,0.6336249325,0.6812395807,0.03082202937,0.7777777778,0.2251221803,0.0364021164,0.1911111111,1.445347623,0,6.638352068,0.4439715327
2,0.05666666667,0.7383333333,0.74,0.73,0.88133278,0.8437635952,0.946,0.4285,0.5729747468,0.5759747468,0.3299509847,0.3640935751,0.4,0.7,0.7,0.7,0.5551980305,0.6055110614,0.04488603006,0.7,0.3119384433,0.05695714286,0.2215,1.54791754,0,5.60396461,0.423742709
3,0.0475,0.6216666667,0.6316666667,0.6183333333,0.8146461645,0.7573914632,0.9516666667,0.4557575758,0.5839164365,0.5887649214,0.3436392853,0.3845442648,0.3333333333,0.6363636364,0.6363636364,0.6363636364,0.5066240925,0.5542172019,0.05427665405,0.6363636364,0.327450444,0.07046044864,0.2260606061,1.550811171,0.3361032718,5.488738748,0.4162035605
4,0.05,0.5233333333,0.535,0.5233333333,0.7444156131,0.6707720308,0.95,0.4902777778,0.6062289557,0.6110900668,0.3698364575,0.4163638827,0.2857142857,0.5833333333,0.5833333333,0.5833333333,0.4743510047,0.5165332771,0.06627406479,0.5833333333,0.3355923322,0.07787698413,0.2180555556,1.575846697,0.4311712963,5.037635914,0.4503619643
5,0.04666666667,0.4483333333,0.4516666667,0.44,0.6677632865,0.5881511091,0.9525,0.5238461538,0.6338267283,0.6392113437,0.4050640276,0.4530394891,0.25,0.5384615385,0.5384615385,0.5384615385,0.4512920631,0.4865008668,0.07483374094,0.5384615385,0.3381436636,0.08185967878,0.2069230769,1.563480685,0.5123039397,4.71658647,0.4375579836
6,0.04714285714,0.385,0.38,0.37,0.5917992578,0.5132828388,0.9522222222,0.5575,0.6635533906,0.6685533906,0.4438875358,0.4909697113,0.2222222222,0.5,0.5,0.5,0.4330582618,0.4609934763,0.07938108399,0.5,0.3401913921,0.0825,0.1925,1.608959282,0.5820964225,4.474192803,0.5097813402
7,0.05125,0.3960416667,0.391875,0.36625,0.5989882676,0.5206813002,0.949,0.5554444444,0.6543164979,0.6679831646,0.4374687259,0.4866821043,0.2,0.4666666667,0.4666666667,0.4666666667,0.3988378569,0.4272671971,0.08720713156,0.4666666667,0.3398681486,0.09655873016,0.2112222222,1.661477292,0.6427756804,4.283398317,0.4891530077
8,0.04888888889,0.3861111111,0.392037037,0.3762962963,0.606520749,0.5203771131,0.9509090909,0.5640625,0.6513383834,0.6601925501,0.4305377848,0.4865517046,0.1818181818,0.4375,0.4375,0.4375,0.3689613228,0.397730257,0.09089785208,0.4375,0.3377597621,0.1047154018,0.2171875,1.668499979,0.6960894094,4.128494606,0.5383186805
9,0.051,0.3748333333,0.379,0.356,0.5888140678,0.5033449905,0.9491666667,0.573627451,0.6564557334,0.6699851452,0.4403830255,0.497014742,0.1666666667,0.4117647059,0.4117647059,0.4117647059,0.3490359483,0.3757315715,0.09135934684,0.4117647059,0.3355990707,0.1111715274,0.2204901961,1.678359666,0.7433844263,3.999684631,0.58632563
10,0.05090909091,0.3565151515,0.3621212121,0.3337878788,0.5667490107,0.4806297012,0.9492307692,0.5876851852,0.6648007853,0.6821156001,0.4538030339,0.5116489745,0.1538461538,0.3888888889,0.3888888889,0.3888888889,0.332783164,0.3569914945,0.09095904845,0.3888888889,0.3323495619,0.114122575,0.2178703704,1.681915413,0.785701491,3.890514091,0.6022962228
11,0.04833333333,0.3351388889,0.3408333333,0.3123611111,0.5408279602,0.4547087883,0.9514285714,0.604122807,0.6768288141,0.6948112703,0.4704787682,0.5290411744,0.1428571429,0.3684210526,0.3684210526,0.3684210526,0.3193102382,0.3407592296,0.09543830814,0.3684210526,0.329088384,0.1145864662,0.2116666667,1.709867256,0.8238527919,3.796542661,0.5837996548
12,0.04538461538,0.3134615385,0.3184615385,0.2953846154,0.5151134788,0.4293480008,0.954,0.62125,0.6904873734,0.7054873734,0.4876173734,0.5467762338,0.1333333333,0.35,0.35,0.35,0.3072277531,0.3260837984,0.09874853039,0.35,0.3248598472,0.1135178571,0.20375,1.707238445,0.8584798005,3.714606333,0.6137182904
13,0.04428571429,0.29,0.2958333333,0.2683333333,0.4818546518,0.3987942139,0.955,0.64,0.7051467048,0.7234800382,0.5106503057,0.5685991044,0.125,0.3333333333,0.3333333333,0.3333333333,0.2980203763,0.3137497168,0.1001510879,0.3333333333,0.321114936,0.1104761905,0.1933333333,1.741436497,0.8900954249,3.642384019,0.629833722
14,0.04333333333,0.2865555556,0.2968888889,0.2715555556,0.4852897233,0.3987653795,0.9558823529,0.645530303,0.7043824607,0.721655188,0.508878718,0.5702939961,0.1176470588,0.3181818182,0.3181818182,0.3181818182,0.2831642811,0.2988198663,0.09997773064,0.3181818182,0.3173976895,0.1141824085,0.1953787879,1.758929453,0.9191146573,3.578130795,0.6091489217
15,0.0425,0.2773958333,0.29375,0.2686458333,0.4809343356,0.3919482408,0.9566666667,0.6548550725,0.7065107595,0.7239745276,0.5123659887,0.576541697,0.1111111111,0.3043478261,0.3043478261,0.3043478261,0.2709233471,0.2859067174,0.09703096094,0.3043478261,0.3132518588,0.1150634621,0.1929710145,1.76446254,0.9458770066,3.520507185,0.6358483033
16,0.04235294118,0.2685294118,0.2861764706,0.2720588235,0.4787031837,0.3861713658,0.9568421053,0.6639583333,0.7118644778,0.7218644778,0.5144955235,0.5821240419,0.1052631579,0.2916666667,0.2916666667,0.2916666667,0.2595544776,0.2740154498,0.09632974462,0.2916666667,0.3094389689,0.115483631,0.1902083333,1.758030377,0.9706630868,3.468466228,0.6413906092
17,0.04388888889,0.2652777778,0.2787037037,0.2663888889,0.4698872531,0.3792537586,0.9555,0.669,0.7173232321,0.7261898987,0.5214085741,0.5884504145,0.1,0.28,0.28,0.28,0.2502166295,0.2636894673,0.09829213333,0.28,0.3057866003,0.1178742857,0.191,1.761071592,0.993707028,3.421176617,0.6205300598
18,0.04473684211,0.2556140351,0.2673684211,0.255877193,0.4542808105,0.3654519589,0.9547619048,0.6785897436,0.725759518,0.7341569539,0.5334450985,0.5998141825,0.09523809524,0.2692307692,0.2692307692,0.2692307692,0.2426824525,0.2547525128,0.1011133673,0.2692307692,0.3024891268,0.1170033812,0.1867948718,1.775739533,1.015205872,3.377969071,0.6038873947
19,0.0445,0.24425,0.25425,0.24525,0.4368968765,0.3499079276,0.955,0.6894444444,0.7357313877,0.7423980544,0.546972991,0.6125985698,0.09090909091,0.2592592593,0.2592592593,0.2592592593,0.2360166762,0.2466311804,0.1016872028,0.2592592593,0.2992116702,0.1148736038,0.1809259259,1.773331778,1.035326766,3.338298092,0.5979785015
20,0.04571428571,0.2338888889,0.2394444444,0.2294444444,0.4144893033,0.3319423359,0.9539130435,0.6995833333,0.747193362,0.754693362,0.5645610718,0.6273417736,0.08695652174,0.25,0.25,0.25,0.2306695231,0.2395551103,0.1003997444,0.25,0.2954996594,0.1127678571,0.1754166667,1.792548086,1.054212538,3.301714165,0.5734507791
21,0.04454545455,0.2337878788,0.2366666667,0.2349242424,0.4168899344,0.3329580649,0.955,0.701954023,0.749761407,0.751083246,0.5636272728,0.6280664859,0.08333333333,0.2413793103,0.2413793103,0.2413793103,0.2222110378,0.2310563318,0.1006393217,0.2413793103,0.2925700524,0.115325293,0.1773563218,1.800640911,1.071986055,3.267843203,0.5382592978
22,0.04434782609,0.2284057971,0.2379710145,0.232826087,0.4165119766,0.3300319003,0.9552,0.7082222222,0.7492138045,0.7531582489,0.564678125,0.631682764,0.08,0.2333333333,0.2333333333,0.2333333333,0.2146906636,0.2233176942,0.1007446949,0.2333333333,0.2893262494,0.1150730159,0.1751111111,1.812548099,1.088753667,3.236371103,0.5335517825
23,0.04416666667,0.225625,0.2358333333,0.2296527778,0.4127211945,0.3263643825,0.9553846154,0.7124193548,0.7512821764,0.7560671226,0.5683158223,0.6357784077,0.07692307692,0.2258064516,0.2258064516,0.2258064516,0.2081319119,0.2163368772,0.1008451083,0.2258064516,0.2858304184,0.1159149695,0.1746774194,1.808442445,1.104607959,3.207031989,0.5011094941
24,0.0428,0.219,0.2292,0.2278666667,0.4064812605,0.3194550021,0.9566666667,0.71953125,0.7568671084,0.7579087751,0.5738861036,0.6423692559,0.07407407407,0.21875,0.21875,0.21875,0.2023145983,0.209973333,0.1018137453,0.21875,0.281980276,0.1145717076,0.17109375,1.807468564,1.119629955,3.179599139,0.5053553198
