k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.9533333333333348,0.4375,0.6187184335382284,0.6187184335382284,0.400213068181818,0.6666666666666659,0.875,0.875,0.875,0.800426136363636,0.0119443141104075,0.875,0.2251221802536836,0.0133928571428571,0.125,1.2678977570251584,0.0,9.210340371976168,0.4145829729804078
1,0.9599999999999989,0.4203703703703703,0.5858978668487951,0.5792312001821285,0.3661840064554387,0.5,0.7777777777777771,0.7777777777777771,0.7777777777777771,0.6820699828988518,0.0294098609956718,0.7777777777777771,0.2251221802536836,0.0363315696649029,0.1907407407407405,1.3189999791081914,0.0,6.6383520679938055,0.4323779130279842
2,0.9660000000000004,0.4305000000000001,0.5834747468305823,0.5739747468305825,0.3683363995453734,0.3999999999999991,0.7000000000000013,0.7000000000000013,0.7000000000000013,0.6082486915310795,0.0432911837348446,0.7000000000000013,0.3119384432880467,0.0564428571428572,0.2194999999999997,1.426007663969545,0.0,5.603964609923647,0.4441803367321507
3,0.9683333333333342,0.4557575757575753,0.597855830452045,0.5851285577247723,0.3889348730173264,0.3333333333333329,0.6363636363636349,0.6363636363636349,0.6363636363636349,0.5570907004263443,0.0536881617320938,0.6363636363636349,0.3274504440053576,0.0704604486422667,0.2260606060606061,1.4909169243718292,0.3361032717537028,5.488738747664898,0.4618263699394903
4,0.9685714285714276,0.4861111111111111,0.6228956223588199,0.6062289556921534,0.4196991752886012,0.2857142857142854,0.5833333333333341,0.5833333333333341,0.5833333333333341,0.519254779802434,0.0639623420443994,0.5833333333333341,0.3355923321934642,0.0793650793650793,0.222222222222222,1.5566383639556958,0.4311712962609277,5.03763591439423,0.4267334325046008
5,0.9662499999999984,0.5169230769230772,0.6476728821773717,0.6315190360235254,0.452711520397446,0.25,0.5384615384615397,0.5384615384615397,0.5384615384615397,0.487817771820212,0.0733693164141726,0.5384615384615397,0.3380311048294661,0.0845984784446323,0.2138461538461534,1.5925349434009484,0.5123039396815564,4.716586470340998,0.4677737716786608
6,0.9677777777777788,0.5525000000000002,0.674386723926607,0.6627200572599407,0.4911827803407538,0.2222222222222216,0.5,0.5,0.5,0.4619098623404627,0.078041673846868,0.5000000000000001,0.3401712230261528,0.084642857142857,0.1975,1.6474491870821242,0.5820964224856199,4.474192803227892,0.4626215356095121
7,0.965999999999999,0.553777777777778,0.6667609423315,0.6580942756648329,0.4873194779131211,0.1999999999999996,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.427898613207182,0.0837308173194712,0.4666666666666679,0.3398605767951738,0.0973206349206349,0.2128888888888888,1.665747729840896,0.6427756803804603,4.283398317228332,0.541911596709856
8,0.9654545454545442,0.5635416666666668,0.6695675501024483,0.6637342167691149,0.4952885017574704,0.1818181818181819,0.4375,0.4375,0.4375,0.401382397723082,0.0870056525498145,0.4375,0.3377597620935507,0.1049665178571427,0.2177083333333334,1.691226398073065,0.6960894093896066,4.128494606289634,0.5325649843184158
9,0.962499999999998,0.5738235294117652,0.6712596549983822,0.6700831844101469,0.5033843473199197,0.1666666666666674,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.378041145704178,0.0915209242885197,0.411764705882353,0.3354120271269276,0.1110726643598615,0.2202941176470587,1.728278668443618,0.7433844262934233,3.999684631293861,0.5589855590831595
