k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.96,1.776356839e-16,1.565414465e-16,1.476596623e-16,5.880197163e-17,8.248413494e-17,0.04,1,1,1,1,1,0.9533333333,0.4375,0.6187184335,0.6187184335,0.3828125,0.4002130682,0.6666666667,0.875,0.875,0.875,0.765625,0.8004261364,0.01215737149,0.875,0.2251221803,0.01339285714,0.125,1.258478602,0,9.210340372,0.3991364914
1,0.955,0.1316666667,0.1416666667,0.1383333333,0.05772572269,0.07460870801,0.045,0.8683333333,0.8583333333,0.8616666667,0.9422742773,0.925391292,0.9525,0.4181481481,0.5814534224,0.5807126817,0.3376498316,0.3641722927,0.5,0.7777777778,0.7777777778,0.7777777778,0.6332874424,0.6809698014,0.03066431211,0.7777777778,0.2251221803,0.03675485009,0.192962963,1.463626898,0,6.638352068,0.3910897262
2,0.9533333333,0.2583333333,0.27,0.26,0.1186836465,0.1555211863,0.04666666667,0.7416666667,0.73,0.74,0.8813163535,0.8444788137,0.952,0.4275,0.5759747468,0.5729747468,0.3299009847,0.3637309014,0.4,0.7,0.7,0.7,0.5551980305,0.605491199,0.04433140612,0.7,0.3119384433,0.05721428571,0.2225,1.549563775,0,5.60396461,0.388740115
3,0.9575,0.3666666667,0.3733333333,0.3733333333,0.1837300745,0.2385152677,0.0425,0.6333333333,0.6266666667,0.6266666667,0.8162699255,0.7614847323,0.955,0.4515151515,0.5857346183,0.5857346183,0.3428734729,0.3826732265,0.3333333333,0.6363636364,0.6363636364,0.6363636364,0.5061722462,0.5539392536,0.05727700851,0.6363636364,0.327450444,0.07178276269,0.2303030303,1.669713132,0.3361032718,5.488738748,0.4108973772
4,0.96,0.465,0.4766666667,0.4766666667,0.2611757591,0.3293561291,0.04,0.535,0.5233333333,0.5233333333,0.7388242409,0.6706438709,0.9571428571,0.4854166667,0.6110900668,0.6110900668,0.3731918722,0.4166656022,0.2857142857,0.5833333333,0.5833333333,0.5833333333,0.4760120889,0.5177261753,0.06630355203,0.5833333333,0.3355923322,0.07961309524,0.2229166667,1.651928652,0.4311712963,5.037635914,0.4122463304
5,0.9616666667,0.535,0.5516666667,0.5566666667,0.3309305911,0.4043104359,0.03833333333,0.465,0.4483333333,0.4433333333,0.6690694089,0.5956895641,0.95875,0.5161538462,0.6353651899,0.6376728822,0.4047681696,0.4496117297,0.25,0.5384615385,0.5384615385,0.5384615385,0.4512920631,0.4866361785,0.07389055028,0.5384615385,0.3384438202,0.08490278952,0.2146153846,1.683230244,0.5123039397,4.71658647,0.4110036225
6,0.9614285714,0.6083333333,0.6016666667,0.6216666667,0.3904449445,0.4738533838,0.03857142857,0.3916666667,0.3983333333,0.3783333333,0.6095550555,0.5261466162,0.9588888889,0.5541666667,0.6543867239,0.6643867239,0.4344512684,0.4843811621,0.2222222222,0.5,0.5,0.5,0.4291530188,0.458756303,0.07695552281,0.5,0.340261984,0.08392857143,0.1958333333,1.706631386,0.5820964225,4.474192803,0.4307147714
7,0.95875,0.6072916667,0.60375,0.611875,0.3838511287,0.4705198321,0.04125,0.3927083333,0.39625,0.388125,0.6161488713,0.5294801679,0.957,0.5572222222,0.6519831646,0.6563164979,0.4277255048,0.4820304746,0.2,0.4666666667,0.4666666667,0.4666666667,0.3950107189,0.4250763067,0.08392637931,0.4666666667,0.3397394277,0.09574603175,0.2094444444,1.736787018,0.6427756804,4.283398317,0.4569315302
8,0.9588888889,0.6090740741,0.6142592593,0.6177777778,0.3913482202,0.4770454432,0.04111111111,0.3909259259,0.3857407407,0.3822222222,0.6086517798,0.5229545568,0.9572727273,0.5613541667,0.6548800501,0.6568592168,0.4299305766,0.4854383582,0.1818181818,0.4375,0.4375,0.4375,0.3690147148,0.3979854117,0.08989173876,0.4375,0.3377023933,0.1060212054,0.2198958333,1.742901108,0.6960894094,4.128494606,0.491425014
9,0.957,0.6261666667,0.6281666667,0.6396666667,0.4114478188,0.4976094645,0.043,0.3738333333,0.3718333333,0.3603333333,0.5885521812,0.5023905355,0.9558333333,0.5742156863,0.6606714197,0.6674361256,0.4408606055,0.4977752095,0.1666666667,0.4117647059,0.4117647059,0.4117647059,0.3494379586,0.3760730213,0.09252528578,0.4117647059,0.3352517041,0.1108749382,0.2199019608,1.783624443,0.7433844263,3.999684631,0.4883152032
10,0.9554545455,0.6487878788,0.6554545455,0.6563636364,0.4376627365,0.5241528828,0.04454545455,0.3512121212,0.3445454545,0.3436363636,0.5623372635,0.4758471172,0.9546153846,0.5909259259,0.675541526,0.6760970816,0.4568659821,0.5148037191,0.1538461538,0.3888888889,0.3888888889,0.3888888889,0.3338589138,0.3576783044,0.0943819199,0.3888888889,0.3322861891,0.1124250441,0.2146296296,1.792402224,0.785701491,3.890514091,0.5271038899
11,0.9558333333,0.66625,0.6809722222,0.6794444444,0.4673696299,0.5506862344,0.04416666667,0.33375,0.3190277778,0.3205555556,0.5326303701,0.4493137656,0.955,0.605,0.6906007439,0.6896358317,0.476289365,0.5327365035,0.1428571429,0.3684210526,0.3684210526,0.3684210526,0.3211654991,0.3419376929,0.09982787409,0.3684210526,0.3287397517,0.1141115948,0.2107894737,1.779905886,0.8238527919,3.796542661,0.5377732141
12,0.9530769231,0.6880769231,0.7043589744,0.6908974359,0.4895979191,0.5740355638,0.04692307692,0.3119230769,0.2956410256,0.3091025641,0.5104020809,0.4259644362,0.9526666667,0.62225,0.7053207067,0.6965707067,0.4912775071,0.5492850783,0.1333333333,0.35,0.35,0.35,0.3084408192,0.3268969052,0.1026939383,0.35,0.3249334558,0.1129607143,0.20275,1.816486375,0.8584798005,3.714606333,0.552470718
13,0.9528571429,0.7066666667,0.7275,0.7158333333,0.5224549446,0.6023817115,0.04714285714,0.2933333333,0.2725,0.2841666667,0.4775450554,0.3976182885,0.9525,0.6377777778,0.7207022604,0.7129244826,0.5139893108,0.5695586542,0.125,0.3333333333,0.3333333333,0.3333333333,0.298996687,0.3143996922,0.1027559441,0.3333333333,0.3210012906,0.1117460317,0.1955555556,1.816798636,0.8900954249,3.642384019,0.5289920698
14,0.9513333333,0.7066666667,0.721,0.7125555556,0.5151453115,0.598635333,0.04866666667,0.2933333333,0.279,0.2874444444,0.4848546885,0.401364667,0.9511764706,0.6409090909,0.7165794304,0.7108218546,0.5094179586,0.5685787579,0.1176470588,0.3181818182,0.3181818182,0.3181818182,0.2834184447,0.2990242342,0.10595427,0.3181818182,0.3171292314,0.1168831169,0.2,1.838302166,0.9191146573,3.578130795,0.5578237321
15,0.949375,0.709375,0.7257291667,0.7159375,0.5197423277,0.6032549492,0.050625,0.290625,0.2742708333,0.2840625,0.4802576723,0.3967450508,0.9494444444,0.6456521739,0.7200614841,0.7132498899,0.513354353,0.5732993114,0.1111111111,0.3043478261,0.3043478261,0.3043478261,0.2714271899,0.2863244372,0.1073226121,0.3043478261,0.3132134682,0.1205509047,0.202173913,1.852406961,0.9458770066,3.520507185,0.553633221
16,0.9511764706,0.7095098039,0.7316666667,0.7217647059,0.5276056638,0.6083381656,0.04882352941,0.2904901961,0.2683333333,0.2782352941,0.4723943362,0.3916618344,0.9510526316,0.6484027778,0.7245033667,0.7174894778,0.5194965458,0.5782065803,0.1052631579,0.2916666667,0.2916666667,0.2916666667,0.2609663992,0.2749283209,0.1085554352,0.2916666667,0.3094008426,0.1249280754,0.2057638889,1.837635561,0.9706630868,3.468466228,0.5757286617
17,0.9488888889,0.7218518519,0.7389814815,0.7273148148,0.5365979025,0.6194744911,0.05111111111,0.2781481481,0.2610185185,0.2726851852,0.4634020975,0.3805255089,0.949,0.6597333333,0.7300565654,0.7216565654,0.5265889802,0.5875688466,0.1,0.28,0.28,0.28,0.2515615952,0.2645621259,0.1088385083,0.28,0.3056360069,0.1235931429,0.2002666667,1.839513548,0.993707028,3.421176617,0.5641007107
18,0.9489473684,0.7285087719,0.7501754386,0.7356140351,0.5502960239,0.6307926476,0.05105263158,0.2714912281,0.2498245614,0.2643859649,0.4497039761,0.3692073524,0.949047619,0.6669871795,0.7385800308,0.7279390052,0.5372743819,0.5970990457,0.09523809524,0.2692307692,0.2692307692,0.2692307692,0.2437237543,0.2554557054,0.1099571639,0.2692307692,0.302563171,0.1242709214,0.1983974359,1.845077701,1.015205872,3.377969071,0.5452253531
19,0.948,0.73875,0.7585,0.7451666667,0.5635909986,0.6432007619,0.052,0.26125,0.2415,0.2548333333,0.4364090014,0.3567992381,0.9481818182,0.6768518519,0.7451758322,0.7352992889,0.5476960295,0.607521745,0.09090909091,0.2592592593,0.2592592593,0.2592592593,0.2363729158,0.2469259821,0.1094418615,0.2592592593,0.2989576052,0.1228689006,0.1935185185,1.859644292,1.035326766,3.338298092,0.5585077121
20,0.9471428571,0.7516666667,0.7716666667,0.7566666667,0.5816201677,0.6596285702,0.05285714286,0.2483333333,0.2283333333,0.2433333333,0.4183798323,0.3403714298,0.9473913043,0.68875,0.7555266953,0.7442766953,0.5619532037,0.6211001812,0.08695652174,0.25,0.25,0.25,0.230364426,0.239472052,0.1088653135,0.25,0.2953576526,0.1197321429,0.18625,1.874715126,1.054212538,3.301714165,0.5257478241
21,0.9463636364,0.7546969697,0.7712878788,0.7543939394,0.5793104761,0.6599879923,0.05363636364,0.2453030303,0.2287121212,0.2456060606,0.4206895239,0.3400120077,0.9466666667,0.6932183908,0.7557958897,0.7429797978,0.5609904828,0.6227833338,0.08333333333,0.2413793103,0.2413793103,0.2413793103,0.2219184928,0.230967109,0.1074995132,0.2413793103,0.2926740558,0.1210056056,0.186091954,1.894813525,1.071986055,3.267843203,0.5204565769
22,0.9452173913,0.7613043478,0.7718115942,0.7539855072,0.5792826658,0.6631804215,0.0547826087,0.2386956522,0.2281884058,0.2460144928,0.4207173342,0.3368195785,0.9456,0.7003333333,0.7567138045,0.7430471378,0.5617010173,0.626565745,0.08,0.2333333333,0.2333333333,0.2333333333,0.2143337678,0.2231910997,0.1068683645,0.2333333333,0.2893600613,0.1202571429,0.183,1.897374671,1.088753667,3.236371103,0.4963709634
23,0.94625,0.764375,0.7754166667,0.7628472222,0.5890939822,0.6702682513,0.05375,0.235625,0.2245833333,0.2371527778,0.4109060178,0.3297317487,0.9465384615,0.7046774194,0.7599918538,0.750260671,0.5699130353,0.6331882647,0.07692307692,0.2258064516,0.2258064516,0.2258064516,0.2085159342,0.216596361,0.1062134228,0.2258064516,0.2856986261,0.1210524751,0.1824193548,1.901936734,1.104607959,3.207031989,0.5213528155
24,0.9472,0.7716666667,0.7770666667,0.7672666667,0.5939153825,0.676542508,0.0528,0.2283333333,0.2229333333,0.2327333333,0.4060846175,0.323457492,0.9474074074,0.7122395833,0.7617629417,0.7541066917,0.5742666017,0.6392270775,0.07407407407,0.21875,0.21875,0.21875,0.2024547523,0.2100723025,0.1031414415,0.21875,0.2821727929,0.1194545201,0.1783854167,1.921555454,1.119629955,3.179599139,0.5213508211
25,0.9484615385,0.7758333333,0.781474359,0.7701923077,0.5994692821,0.6816105284,0.05153846154,0.2241666667,0.218525641,0.2298076923,0.4005307179,0.3183894716,0.9485714286,0.7173232323,0.7656994182,0.7568105293,0.5792667899,0.6443514972,0.07142857143,0.2121212121,0.2121212121,0.2121212121,0.1969036204,0.2040311959,0.1052159123,0.2121212121,0.2792163747,0.119273252,0.1766161616,1.935350583,1.133890917,3.153877912,0.5424288983
