scenario,run,truth_seed,sensor_seed_base,status,runtime_s,num_sensors,normalized_score,error
nominal,9,20260821,21269812,ok,8.592958502937108,2,b_norm,
nominal,13,20260825,21273812,ok,9.454688554862514,2,b_norm,
nominal,1,20260813,21261812,ok,9.582918573869392,2,b_norm,
nominal,17,20260829,21277812,ok,9.646540219895542,2,b_norm,
nominal,0,20260812,21260812,ok,10.116838417947292,2,b_norm,
nominal,26,20260838,21286812,ok,10.098460637964308,2,b_norm,
nominal,10,20260822,21270812,ok,10.411564006935805,2,b_norm,
nominal,8,20260820,21268812,ok,10.464398397132754,2,b_norm,
nominal,6,20260818,21266812,ok,10.570513755083084,2,b_norm,
nominal,18,20260830,21278812,ok,10.440251196036115,2,b_norm,
nominal,2,20260814,21262812,ok,10.599223064957187,2,b_norm,
nominal,3,20260815,21263812,ok,10.621838615974411,2,b_norm,
nominal,20,20260832,21280812,ok,10.440089642070234,2,b_norm,
nominal,14,20260826,21274812,ok,10.760258290916681,2,b_norm,
nominal,7,20260819,21267812,ok,10.83168435189873,2,b_norm,
nominal,15,20260827,21275812,ok,10.785164624918252,2,b_norm,
nominal,5,20260817,21265812,ok,10.925795073853806,2,b_norm,
nominal,11,20260823,21271812,ok,11.024518629070371,2,b_norm,
nominal,12,20260824,21272812,ok,11.124668267089874,2,b_norm,
nominal,4,20260816,21264812,ok,11.23953812988475,2,b_norm,
nominal,19,20260831,21279812,ok,11.10312392283231,2,b_norm,
nominal,21,20260833,21281812,ok,11.093971281079575,2,b_norm,
nominal,27,20260839,21287812,ok,11.06115750898607,2,b_norm,
nominal,24,20260836,21284812,ok,11.122588449157774,2,b_norm,
nominal,25,20260837,21285812,ok,11.116175051080063,2,b_norm,
nominal,23,20260835,21283812,ok,11.162896865978837,2,b_norm,
nominal,28,20260840,21288812,ok,11.148334667086601,2,b_norm,
nominal,30,20260842,21290812,ok,11.376031314954162,2,b_norm,
nominal,16,20260828,21276812,ok,11.61533521511592,2,b_norm,
nominal,29,20260841,21289812,ok,11.597274268977344,2,b_norm,
nominal,22,20260834,21282812,ok,11.715892868116498,2,b_norm,
nominal,31,20260843,21291812,ok,10.36657848302275,2,b_norm,
nominal,32,20260844,21292812,ok,10.079113858984783,2,b_norm,
nominal,33,20260845,21293812,ok,10.151541247032583,2,b_norm,
nominal,35,20260847,21295812,ok,9.942691484931856,2,b_norm,
nominal,44,20260856,21304812,ok,9.256625243928283,2,b_norm,
nominal,36,20260848,21296812,ok,10.090332570951432,2,b_norm,
nominal,34,20260846,21294812,ok,10.77005727798678,2,b_norm,
nominal,43,20260855,21303812,ok,10.540171697037295,2,b_norm,
nominal,40,20260852,21300812,ok,10.71519934409298,2,b_norm,
nominal,38,20260850,21298812,ok,10.863338552881032,2,b_norm,
nominal,48,20260860,21308812,ok,10.394265100127086,2,b_norm,
nominal,42,20260854,21302812,ok,10.841497122077271,2,b_norm,
nominal,46,20260858,21306812,ok,10.643811495043337,2,b_norm,
nominal,37,20260849,21297812,ok,11.06490551494062,2,b_norm,
nominal,45,20260857,21305812,ok,10.713459342019632,2,b_norm,
nominal,41,20260853,21301812,ok,10.960980241186917,2,b_norm,
nominal,52,20260864,21312812,ok,10.384390855906531,2,b_norm,
nominal,39,20260851,21299812,ok,11.11870080488734,2,b_norm,
nominal,47,20260859,21307812,ok,10.811725099105388,2,b_norm,
nominal,51,20260863,21311812,ok,10.508379287086427,2,b_norm,
nominal,49,20260861,21309812,ok,10.744955113856122,2,b_norm,
nominal,54,20260866,21314812,ok,10.639337118016556,2,b_norm,
nominal,53,20260865,21313812,ok,10.801525375107303,2,b_norm,
nominal,50,20260862,21310812,ok,11.068758822977543,2,b_norm,
