k,b_norm_griebel_innovation_mean,b_norm_griebel_innovation_q05,b_norm_griebel_innovation_q50,b_norm_griebel_innovation_q95,b_norm_radial_mean,b_norm_radial_q05,b_norm_radial_q50,b_norm_radial_q95,b_norm_x_mean,b_norm_x_q05,b_norm_x_q50,b_norm_x_q95,b_norm_y_mean,b_norm_y_q05,b_norm_y_q50,b_norm_y_q95,b_norm_comp_mean,b_norm_comp_q05,b_norm_comp_q50,b_norm_comp_q95,b_norm_overall_mean,b_norm_overall_q05,b_norm_overall_q50,b_norm_overall_q95,d_norm_griebel_innovation_mean,d_norm_griebel_innovation_q05,d_norm_griebel_innovation_q50,d_norm_griebel_innovation_q95,d_norm_radial_mean,d_norm_radial_q05,d_norm_radial_q50,d_norm_radial_q95,d_norm_x_mean,d_norm_x_q05,d_norm_x_q50,d_norm_x_q95,d_norm_y_mean,d_norm_y_q05,d_norm_y_q50,d_norm_y_q95,d_norm_comp_mean,d_norm_comp_q05,d_norm_comp_q50,d_norm_comp_q95,d_norm_overall_mean,d_norm_overall_q05,d_norm_overall_q50,d_norm_overall_q95,p_ok_griebel_innovation_mean,p_ok_griebel_innovation_q05,p_ok_griebel_innovation_q50,p_ok_griebel_innovation_q95,p_ok_radial_mean,p_ok_radial_q05,p_ok_radial_q50,p_ok_radial_q95,p_ok_x_mean,p_ok_x_q05,p_ok_x_q50,p_ok_x_q95,p_ok_y_mean,p_ok_y_q05,p_ok_y_q50,p_ok_y_q95,p_ok_comp_mean,p_ok_comp_q05,p_ok_comp_q50,p_ok_comp_q95,p_ok_overall_mean,p_ok_overall_q05,p_ok_overall_q50,p_ok_overall_q95,u_griebel_innovation_mean,u_griebel_innovation_q05,u_griebel_innovation_q50,u_griebel_innovation_q95,u_radial_mean,u_radial_q05,u_radial_q50,u_radial_q95,u_x_mean,u_x_q05,u_x_q50,u_x_q95,u_y_mean,u_y_q05,u_y_q50,u_y_q95,u_comp_mean,u_comp_q05,u_comp_q50,u_comp_q95,u_overall_mean,u_overall_q05,u_overall_q50,u_overall_q95,griebel_multinomial_dc_mean,griebel_multinomial_dc_q05,griebel_multinomial_dc_q50,griebel_multinomial_dc_q95,griebel_multinomial_uncertainty_mean,griebel_multinomial_uncertainty_q05,griebel_multinomial_uncertainty_q50,griebel_multinomial_uncertainty_q95,griebel_multinomial_threshold_mean,griebel_multinomial_threshold_q05,griebel_multinomial_threshold_q50,griebel_multinomial_threshold_q95,dc_josang_history_mean,dc_josang_history_q05,dc_josang_history_q50,dc_josang_history_q95,dc_norm_history_mean,dc_norm_history_q05,dc_norm_history_q50,dc_norm_history_q95,nis_score_mean,nis_score_q05,nis_score_q50,nis_score_q95,nis_lower_band_mean,nis_lower_band_q05,nis_lower_band_q50,nis_lower_band_q95,nis_upper_band_mean,nis_upper_band_q05,nis_upper_band_q50,nis_upper_band_q95,rmse_mean,rmse_q05,rmse_q50,rmse_q95
0,0.97,1.0,1.0,1.0,1.7430501486614958e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.6542323066914832e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.6209256159527285e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,6.330869208873645e-17,4.2921147178804404e-17,6.43817207682066e-17,8.584229435760881e-17,8.542895570274063e-17,5.649290766239101e-17,8.473936149358648e-17,1.12985815324782e-16,0.03,0.0,0.0,0.0,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999997,1.0,0.9566666666666677,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.4375,0.4375,0.4375,0.4375,0.6187184335382284,0.6187184335382292,0.6187184335382292,0.6187184335382292,0.6187184335382284,0.6187184335382292,0.6187184335382292,0.6187184335382292,0.38281250000000006,0.3828125000000001,0.3828125000000001,0.3828125000000001,0.400213068181818,0.4002130681818182,0.4002130681818182,0.40021306818181823,0.6666666666666659,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.765625,0.765625,0.765625,0.765625,0.800426136363636,0.8004261363636364,0.8004261363636364,0.8004261363636365,0.012066733307873159,0.011199117432779621,0.011243151667966163,0.013748789743267298,0.875,0.875,0.875,0.875,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.013392857142857144,0.013392857142857146,0.013392857142857146,0.013392857142857146,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1.2524257003430221,0.09790286301792511,0.8800747028461465,3.7217491572176202,0.0,0.0,0.0,0.0,9.210340371976168,9.21034037197618,9.21034037197618,9.21034037197618,0.4093361040219643,0.12773588007212874,0.38298499804410546,0.7875816937950465
1,0.975,0.9750000000000001,1.0,1.0,0.1449999999999999,1.249000902703301e-16,0.1666666666666669,0.1666666666666669,0.14333333333333326,2.4355517602714373e-16,0.1666666666666669,0.1666666666666669,0.14166666666666655,1.249000902703301e-16,0.1666666666666669,0.1666666666666669,0.05894198811113307,0.031550716776099996,0.069845031422473,0.06984503142247304,0.07870173928278085,0.03250587116178197,0.09279246094631964,0.09279246094631971,0.025,0.0,0.0,0.02499999999999858,0.8549999999999994,0.833333333333333,0.833333333333333,0.9999999999999999,0.8566666666666662,0.833333333333333,0.833333333333333,0.9999999999999998,0.8583333333333328,0.833333333333333,0.833333333333333,0.9999999999999999,0.9410580118888664,0.9301549685775268,0.930154968577527,0.9684492832239,0.9212982607172205,0.9072075390536803,0.9072075390536806,0.9674941288382181,0.9624999999999987,0.9625,0.975,0.975,0.421111111111111,0.38888888888888895,0.425925925925926,0.425925925925926,0.5818237927747212,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.5814534224043509,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.3383157812241556,0.3228384669477607,0.34457954020553505,0.3445795402055351,0.365640906131146,0.34394958015998767,0.3718770757058506,0.3718770757058506,0.5,0.5,0.5,0.5,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6337936776065606,0.6218127780386351,0.638687284472332,0.638687284472332,0.6813765767808495,0.6716624939052913,0.6853621016155609,0.6853621016155609,0.030411025157978323,0.021545936910999087,0.02960416050957737,0.040144553110353066,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.03619047619047613,0.035273368606701924,0.03527336860670193,0.042328042328042326,0.18999999999999992,0.1851851851851851,0.18518518518518512,0.22222222222222218,1.6252540069234545,0.36024264873595785,1.4780612593437135,3.1726906700208417,0.0,0.0,0.0,0.0,6.6383520679938055,6.638352067993811,6.638352067993811,6.638352067993811,0.46797574467996417,0.11170615742967124,0.4291867288316782,0.9252879194260072
2,0.9733333333333334,0.6666666666666667,1.0,1.0,0.24000000000000013,0.1666666666666668,0.16666666666666696,0.3333333333333336,0.2749999999999999,0.1666666666666668,0.33333333333333337,0.3333333333333336,0.25833333333333347,0.1666666666666668,0.33333333333333337,0.3333333333333336,0.11988255292245925,0.06715413334127493,0.10812317321074319,0.15885865281780964,0.15148682636047764,0.09072547063584675,0.1610954667988401,0.2088415821859571,0.026666666666666675,0.0,0.0,0.33333333333333337,0.76,0.6666666666666664,0.833333333333333,0.8333333333333333,0.7249999999999998,0.6666666666666664,0.6666666666666666,0.8333333333333333,0.741666666666667,0.6666666666666664,0.6666666666666666,0.8333333333333333,0.8801174470775401,0.8411413471821904,0.8918768267892568,0.932845866658725,0.8485131736395233,0.7911584178140428,0.83890453320116,0.9092745293641532,0.9640000000000005,0.7799999999999999,0.98,0.98,0.42199999999999976,0.4,0.4000000000000001,0.45000000000000007,0.5774747468305823,0.5449747468305833,0.5949747468305833,0.5949747468305834,0.5724747468305825,0.5449747468305833,0.5949747468305833,0.5949747468305834,0.33057095949289356,0.29699747468305837,0.3242462120245876,0.35399494936611675,0.3622526959036685,0.33064908734957227,0.36764709135929163,0.3889586566914548,0.39999999999999913,0.3999999999999998,0.3999999999999998,0.3999999999999999,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.5556080810142128,0.5310050506338833,0.551507575950825,0.5720101012677667,0.6058024570116171,0.5862168288030765,0.6027561457317689,0.6186222464656163,0.04499044869004387,0.02243091806391441,0.04600545033097781,0.06476055360748502,0.7000000000000013,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.3119384432880467,0.3119384432880472,0.3119384432880472,0.3119384432880472,0.05862857142857148,0.05142857142857142,0.0642857142857143,0.0642857142857143,0.22799999999999984,0.19999999999999996,0.25,0.25,1.6582256041798777,0.5093309379250277,1.5920497082529117,3.13470497824567,0.0,0.0,0.0,0.0,5.603964609923647,5.603964609923643,5.603964609923643,5.603964609923643,0.4594358374875101,0.10733482411707584,0.42723752208931265,0.9364854608234792
3,0.9725,0.75,1.0,1.0,0.34499999999999986,0.16666666666666682,0.3333333333333334,0.5,0.395,0.16666666666666682,0.3333333333333334,0.5000000000000001,0.38166666666666665,0.16666666666666682,0.3333333333333334,0.5000000000000001,0.1943153600225534,0.10482734562728793,0.21140581199699351,0.2805493979741872,0.2399271630031805,0.15369490214498924,0.24999703705732249,0.3027486289284121,0.0275,0.0,0.0,0.25,0.6549999999999997,0.5,0.6666666666666666,0.8333333333333331,0.6049999999999998,0.49999999999999983,0.6666666666666666,0.8333333333333331,0.618333333333333,0.49999999999999983,0.6666666666666666,0.8333333333333331,0.8056846399774461,0.7194506020258129,0.7885941880030064,0.895172654372712,0.7600728369968195,0.6972513710715877,0.7500029629426774,0.8463050978550108,0.9650000000000005,0.8166666666666667,0.9833333333333333,0.9833333333333333,0.44363636363636305,0.37878787878787884,0.43939393939393945,0.5,0.5936134062096209,0.5105831031793182,0.5711891637853788,0.6317952243914394,0.5887649213611361,0.5105831031793182,0.5711891637853788,0.6317952243914394,0.34928828210636453,0.29163953574793855,0.360874585903742,0.3991652055638293,0.3840968311685679,0.34169425331050074,0.3907423616590571,0.41533647149667974,0.3333333333333329,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5102388627845158,0.4727356208824518,0.5179202496801194,0.5405125640789532,0.55696638068239,0.528167837439978,0.5629746261607538,0.5790430628615006,0.05625340056858149,0.029491091132178463,0.057693252555071885,0.08311693821828102,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.32745044400535767,0.3274504440053579,0.3274504440053579,0.3274504440053579,0.07423848878394325,0.05667060212514757,0.0755608028335301,0.09445100354191263,0.23818181818181827,0.18181818181818177,0.24242424242424238,0.303030303030303,1.6609744731160845,0.6446222853175446,1.6078180205236348,2.994334056639942,0.3361032717537028,0.33610327175370247,0.33610327175370247,0.33610327175370247,5.488738747664898,5.488738747664883,5.488738747664883,5.488738747664883,0.4344820731803998,0.12377082619084384,0.37957527156822796,0.9527858087641523
4,0.9719999999999998,0.8,1.0,1.0,0.43499999999999994,0.33333333333333326,0.5,0.6666666666666666,0.47833333333333333,0.33333333333333326,0.5,0.6666666666666666,0.48333333333333317,0.33333333333333326,0.5,0.6666666666666666,0.26441188285065725,0.1444495038019467,0.2691773153912585,0.3551901560502659,0.3211695991421055,0.19899440791587944,0.3240471619958598,0.4140703289095291,0.028000000000000004,0.0,0.0,0.2,0.5649999999999997,0.33333333333333337,0.5,0.6666666666666667,0.5216666666666666,0.33333333333333337,0.5,0.6666666666666667,0.5166666666666668,0.33333333333333337,0.5,0.6666666666666667,0.7355881171493424,0.6448098439497341,0.7308226846087416,0.8555504961980532,0.6788304008578945,0.5859296710904708,0.6759528380041402,0.8010055920841205,0.9657142857142844,0.8428571428571429,0.9857142857142857,0.9857142857142857,0.4729166666666669,0.4305555555555555,0.5,0.5694444444444444,0.6117845112477088,0.5513678445810416,0.6208122890254861,0.6902567334699306,0.6138678445810422,0.5513678445810416,0.6208122890254861,0.6902567334699306,0.3751545692059686,0.29918396917374623,0.3805853673408662,0.42851986272072246,0.4129342660020911,0.3458203286277427,0.4157277960688928,0.45900444053005296,0.2857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142858,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4771985776374458,0.43519687646732264,0.482656425812095,0.5063862004844811,0.5185587355988288,0.4877846942817943,0.522917300279377,0.5389262748319228,0.06746579559905422,0.03687698798673471,0.06842673809560477,0.10412098889009459,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3355923321934642,0.3355923321934648,0.3355923321934648,0.3355923321934648,0.08407738095238088,0.049603174603174566,0.07440476190476186,0.09920634920634919,0.2354166666666665,0.13888888888888878,0.2083333333333332,0.27777777777777773,1.6959637410878787,0.7345999537660877,1.6109842090327824,2.8859975772330384,0.43117129626092776,0.43117129626092776,0.43117129626092776,0.43117129626092776,5.03763591439423,5.037635914394234,5.037635914394234,5.037635914394234,0.42962463506685317,0.13458103752188863,0.39146194182883953,0.9029145581082662
5,0.9699999999999999,0.8333333333333334,1.0,1.0,0.51,0.3333333333333334,0.5000000000000001,0.8333333333333334,0.5616666666666669,0.3333333333333334,0.5000000000000002,0.8333333333333334,0.5616666666666663,0.3333333333333334,0.5000000000000002,0.6749999999999995,0.33654144080870824,0.20600999923215627,0.35375372653529,0.4495157771168043,0.399420321133565,0.2466822545563596,0.40990673258442895,0.5378940531472534,0.029999999999999995,0.0,0.0,0.16666666666666666,0.48999999999999994,0.16666666666666663,0.49999999999999994,0.6666666666666665,0.43833333333333335,0.16666666666666663,0.49999999999999983,0.6666666666666665,0.43833333333333363,0.32499999999999996,0.49999999999999983,0.6666666666666665,0.663458559191292,0.5504842228831958,0.64624627346471,0.7939900007678437,0.6005796788664349,0.4621059468527466,0.590093267415571,0.7533177454436404,0.9649999999999983,0.8625,0.9875,0.9875,0.5046153846153847,0.42307692307692313,0.5,0.6538461538461539,0.6399805744850636,0.5345959591004488,0.6115190360235256,0.7653651898696795,0.639980574485064,0.5345959591004488,0.6115190360235256,0.6922882667927561,0.4085875617537356,0.32691560557117855,0.4209954572671055,0.4739525428783827,0.4474701957674877,0.3629289125956377,0.4543200854550262,0.5192133902919149,0.25000000000000006,0.25,0.2500000000000001,0.2500000000000001,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.4534757640664935,0.4112575462540927,0.459784233394783,0.48404757696512823,0.48820980884805126,0.4588966234311498,0.49297083061415503,0.5083009273631136,0.07504056857314222,0.03785270644081445,0.07338568125675224,0.11791415965548394,0.5384615384615397,0.5384615384615385,0.5384615384615385,0.5384615384615385,0.3383687810406048,0.3355923321934648,0.33934429009500533,0.33934429009500533,0.08946745562130184,0.030431107354184226,0.0912933220625528,0.12172442941673711,0.22615384615384584,0.07692307692307679,0.23076923076923067,0.30769230769230765,1.7054709764654548,0.833559083763314,1.568628303524311,2.8827020859533437,0.5123039396815564,0.5123039396815555,0.5123039396815555,0.5123039396815555,4.716586470340998,4.716586470341004,4.716586470341004,4.716586470341004,0.4725627366518832,0.1039169758772498,0.44436549712643714,0.9348015017915755
6,0.9728571428571429,0.8571428571428571,1.0,1.0,0.5916666666666663,0.3333333333333336,0.5000000000000001,0.8333333333333333,0.6316666666666664,0.49166666666666664,0.6666666666666666,0.8333333333333333,0.628333333333333,0.3333333333333336,0.6666666666666667,0.8333333333333333,0.4104018086731978,0.2636203335589422,0.4366708569162444,0.5547846192529146,0.4791959067116012,0.3539985282031105,0.4711774108177716,0.6133517584890179,0.027142857142857135,0.0,0.0,0.14285714285714285,0.40833333333333355,0.1666666666666667,0.4999999999999999,0.6666666666666664,0.3683333333333334,0.1666666666666667,0.33333333333333337,0.508333333333333,0.3716666666666668,0.1666666666666667,0.3333333333333333,0.6666666666666664,0.5895981913268019,0.4452153807470854,0.5633291430837557,0.7363796664410579,0.5208040932883988,0.386648241510982,0.5288225891822285,0.6460014717968895,0.9677777777777788,0.8777777777777778,0.9888888888888889,0.9888888888888889,0.5458333333333336,0.4166666666666668,0.5,0.6666666666666665,0.6693867239266073,0.5993867239266071,0.6868867239266071,0.7702200572599404,0.6677200572599404,0.5202200572599406,0.6868867239266072,0.7702200572599404,0.44641919162931837,0.35733225085219256,0.4648689270621826,0.5290539318338443,0.4877055593826406,0.41787417211424965,0.48436381019458563,0.5598870319320186,0.22222222222222168,0.222222222222222,0.222222222222222,0.222222222222222,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.43452272785247503,0.39644660940672627,0.44526214587563495,0.4696699141100895,0.46223156148156375,0.4375,0.4696348402636772,0.48391504294495546,0.07847538685371751,0.039832899783707784,0.07773794338817949,0.12171342168497995,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.340161138478212,0.33934429009500533,0.340352744889087,0.340352744889087,0.08749999999999991,0.03571428571428573,0.1071428571428571,0.14285714285714282,0.20416666666666675,0.0833333333333334,0.24999999999999986,0.3333333333333332,1.7235393782470627,0.875982359291791,1.6426566847729314,2.997976517575265,0.5820964224856199,0.5820964224856204,0.5820964224856204,0.5820964224856204,4.474192803227892,4.474192803227897,4.474192803227897,4.474192803227897,0.47802080461228225,0.1327185358143499,0.4191531130804306,0.9544493286265504
7,0.9675,0.875,1.0,1.0,0.5891666666666666,0.45833333333333337,0.6041666666666667,0.75,0.6247916666666665,0.4583333333333335,0.6250000000000001,0.75,0.6174999999999998,0.33333333333333354,0.6145833333333335,0.75,0.3982295387674957,0.23845786014449252,0.3839597626547012,0.5583385110049089,0.47235938853090575,0.35796410722091004,0.46914089146460847,0.5834244225742458,0.0325,0.0,0.0,0.125,0.4108333333333335,0.25,0.39583333333333326,0.5416666666666666,0.3752083333333333,0.25,0.37499999999999994,0.5416666666666665,0.3825,0.25,0.3854166666666666,0.6666666666666664,0.6017704612325043,0.441661488995091,0.6160402373452988,0.7615421398555074,0.5276406114690942,0.416575577425754,0.5308591085353915,0.64203589277909,0.9639999999999991,0.89,0.99,0.99,0.5475555555555558,0.4777777777777778,0.5555555555555556,0.6333333333333333,0.6632053867759443,0.5744276089981667,0.6633164978870556,0.7299831645537223,0.6593164978870553,0.5077609423315,0.6577609423315001,0.7299831645537223,0.43676180854450136,0.331164421783034,0.4300260004666995,0.5328754205318667,0.4832570449215187,0.4161368402790681,0.48228427638594074,0.5467797273438237,0.19999999999999965,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.46666666666666673,0.46666666666666656,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.39889860513321956,0.3544612798907223,0.39698503610363833,0.43647138115848894,0.4275718907419516,0.397724777779803,0.4269027006545949,0.45064947966216506,0.08595853390188718,0.04539541610713728,0.08854904105179907,0.1367415047569696,0.4666666666666679,0.46666666666666684,0.46666666666666684,0.46666666666666684,0.3398378613446856,0.3395955632061438,0.3395955632061438,0.340352744889087,0.1001650793650794,0.06095238095238098,0.09650793650793653,0.1320634920634921,0.21911111111111112,0.1333333333333334,0.21111111111111114,0.288888888888889,1.728847147777981,0.9027384507744173,1.6115003153165648,2.8491453036546686,0.6427756803804603,0.6427756803804616,0.6427756803804616,0.6427756803804616,4.283398317228332,4.283398317228336,4.283398317228336,4.283398317228336,0.4802452660343721,0.12058745107253359,0.46248701469731535,0.9410223465300341
8,0.964444444444444,0.8888888888888888,1.0,1.0,0.6044444444444447,0.4259259259259261,0.5925925925925927,0.8148148148148149,0.6305555555555558,0.4259259259259261,0.6296296296296298,0.8148148148148149,0.6294444444444445,0.4259259259259261,0.6666666666666667,0.7777777777777778,0.4076256771587962,0.2658948759169588,0.41192733399629217,0.5581733430179767,0.4856270305922172,0.37835330058993594,0.4816144815869284,0.6170961624079794,0.03555555555555557,0.0,0.0,0.11111111111111112,0.39555555555555566,0.18518518518518515,0.4074074074074074,0.574074074074074,0.36944444444444435,0.18518518518518515,0.3703703703703703,0.574074074074074,0.3705555555555555,0.2222222222222222,0.33333333333333326,0.574074074074074,0.5923743228412041,0.44182665698202317,0.5880726660037078,0.7341051240830412,0.5143729694077828,0.3829038375920205,0.5183855184130716,0.6216466994100641,0.9618181818181807,0.9,0.990909090909091,0.990909090909091,0.55875,0.4583333333333334,0.5520833333333334,0.6770833333333334,0.6640467167691146,0.548942550102448,0.6635258834357813,0.767692550102448,0.6634217167691148,0.548942550102448,0.6843592167691146,0.7468592167691146,0.4402370775239989,0.34501376042317083,0.44500818705280115,0.5344593391489404,0.49051497456703286,0.42392336002163733,0.489167614625972,0.5677522103231841,0.1818181818181819,0.18181818181818177,0.18181818181818188,0.18181818181818188,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.3730458102297801,0.3382342307853896,0.3756086258943978,0.4076438217021192,0.40049416611267746,0.3775981298693678,0.40260082583491796,0.4216594516575125,0.09070736337170095,0.05090295871136838,0.0886475947707128,0.13247945970526046,0.43750000000000006,0.43750000000000017,0.43750000000000017,0.43750000000000017,0.33781713087831916,0.3376832703805253,0.3376832703805253,0.3395955632061438,0.10727678571428559,0.0502232142857143,0.11049107142857141,0.1556919642857143,0.22249999999999992,0.10416666666666669,0.2291666666666666,0.32291666666666663,1.7344626163261052,0.9895268220022876,1.625861629215136,2.8613249912978045,0.6960894093896066,0.6960894093896071,0.6960894093896071,0.6960894093896071,4.128494606289634,4.128494606289638,4.128494606289638,4.128494606289638,0.5082351732323013,0.12864486592418856,0.469328538315228,0.9443733604835853
9,0.9640000000000002,0.9,1.0,1.0,0.6196666666666668,0.45,0.6166666666666667,0.7999999999999999,0.6466666666666664,0.45,0.6833333333333333,0.7999999999999999,0.6426666666666664,0.4475,0.6833333333333333,0.7524999999999998,0.42396800614261776,0.2821360923852786,0.42761184086207094,0.5469999417326327,0.5029948332955863,0.38706786040846947,0.5095820998853804,0.6089596211231422,0.03600000000000002,0.0,0.0,0.1,0.38033333333333325,0.2,0.3833333333333333,0.55,0.3533333333333335,0.2,0.3166666666666666,0.55,0.3573333333333333,0.24749999999999994,0.3166666666666666,0.5524999999999999,0.5760319938573824,0.4530000582673673,0.5723881591379292,0.7178639076147214,0.49700516670441375,0.39104037887685783,0.4904179001146196,0.6129321395915307,0.961666666666665,0.9083333333333333,0.9916666666666666,0.9916666666666666,0.5703921568627454,0.47058823529411764,0.5686274509803921,0.6764705882352942,0.6715537726454411,0.5558674981356372,0.6931224000964216,0.7617498510768137,0.6692008314689705,0.5543969099003431,0.6931224000964216,0.7338086746062253,0.4491517478747438,0.3520475805295503,0.45327095901307657,0.5291392875889384,0.5011264908945006,0.4275611444481078,0.5058744619214294,0.5659685537944914,0.16666666666666743,0.16666666666666707,0.16666666666666707,0.16666666666666718,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3524885073262522,0.32065875060583293,0.35518434110495056,0.38001438906664453,0.37799094863297666,0.3573493323394332,0.38009921136322833,0.39483688693251795,0.0918394069184151,0.044602824123825886,0.08581060293182977,0.1482459985201223,0.411764705882353,0.41176470588235314,0.41176470588235314,0.41176470588235314,0.335518909162391,0.33501121949393997,0.33501121949393997,0.3376832703805253,0.11280276816608997,0.059317844784972824,0.11369253583786453,0.16312407315867522,0.22372549019607826,0.11764705882352941,0.22549019607843127,0.3235294117647058,1.7534800433279687,1.0131341197847146,1.6622348205189597,2.7684690251354267,0.7433844262934233,0.7433844262934236,0.7433844262934236,0.7433844262934236,3.9996846312938614,3.999684631293865,3.999684631293865,3.999684631293865,0.5785540609210189,0.14270171679710908,0.5568551840038767,1.0853951285970955
