k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.97,1.743050149e-16,1.654232307e-16,1.620925616e-16,6.330869209e-17,8.54289557e-17,0.03,1,1,1,1,1,0.9566666667,0.4375,0.6187184335,0.6187184335,0.3828125,0.4002130682,0.6666666667,0.875,0.875,0.875,0.765625,0.8004261364,0.01206673331,0.875,0.2251221803,0.01339285714,0.125,1.2524257,0,9.210340372,0.409336104
1,0.975,0.145,0.1433333333,0.1416666667,0.05894198811,0.07870173928,0.025,0.855,0.8566666667,0.8583333333,0.9410580119,0.9212982607,0.9625,0.4211111111,0.5818237928,0.5814534224,0.3383157812,0.3656409061,0.5,0.7777777778,0.7777777778,0.7777777778,0.6337936776,0.6813765768,0.03041102516,0.7777777778,0.2251221803,0.03619047619,0.19,1.625254007,0,6.638352068,0.4679757447
2,0.9733333333,0.24,0.275,0.2583333333,0.1198825529,0.1514868264,0.02666666667,0.76,0.725,0.7416666667,0.8801174471,0.8485131736,0.964,0.422,0.5774747468,0.5724747468,0.3305709595,0.3622526959,0.4,0.7,0.7,0.7,0.555608081,0.605802457,0.04499044869,0.7,0.3119384433,0.05862857143,0.228,1.658225604,0,5.60396461,0.4594358375
3,0.9725,0.345,0.395,0.3816666667,0.19431536,0.239927163,0.0275,0.655,0.605,0.6183333333,0.80568464,0.760072837,0.965,0.4436363636,0.5936134062,0.5887649214,0.3492882821,0.3840968312,0.3333333333,0.6363636364,0.6363636364,0.6363636364,0.5102388628,0.5569663807,0.05625340057,0.6363636364,0.327450444,0.07423848878,0.2381818182,1.660974473,0.3361032718,5.488738748,0.4344820732
4,0.972,0.435,0.4783333333,0.4833333333,0.2644118829,0.3211695991,0.028,0.565,0.5216666667,0.5166666667,0.7355881171,0.6788304009,0.9657142857,0.4729166667,0.6117845112,0.6138678446,0.3751545692,0.412934266,0.2857142857,0.5833333333,0.5833333333,0.5833333333,0.4771985776,0.5185587356,0.0674657956,0.5833333333,0.3355923322,0.08407738095,0.2354166667,1.695963741,0.4311712963,5.037635914,0.4296246351
5,0.97,0.51,0.5616666667,0.5616666667,0.3365414408,0.3994203211,0.03,0.49,0.4383333333,0.4383333333,0.6634585592,0.6005796789,0.965,0.5046153846,0.6399805745,0.6399805745,0.4085875618,0.4474701958,0.25,0.5384615385,0.5384615385,0.5384615385,0.4534757641,0.4882098088,0.07504056857,0.5384615385,0.338368781,0.08946745562,0.2261538462,1.705470976,0.5123039397,4.71658647,0.4725627367
6,0.9728571429,0.5916666667,0.6316666667,0.6283333333,0.4104018087,0.4791959067,0.02714285714,0.4083333333,0.3683333333,0.3716666667,0.5895981913,0.5208040933,0.9677777778,0.5458333333,0.6693867239,0.6677200573,0.4464191916,0.4877055594,0.2222222222,0.5,0.5,0.5,0.4345227279,0.4622315615,0.07847538685,0.5,0.3401611385,0.0875,0.2041666667,1.723539378,0.5820964225,4.474192803,0.4780208046
7,0.9675,0.5891666667,0.6247916667,0.6175,0.3982295388,0.4723593885,0.0325,0.4108333333,0.3752083333,0.3825,0.6017704612,0.5276406115,0.964,0.5475555556,0.6632053868,0.6593164979,0.4367618085,0.4832570449,0.2,0.4666666667,0.4666666667,0.4666666667,0.3988986051,0.4275718907,0.0859585339,0.4666666667,0.3398378613,0.1001650794,0.2191111111,1.728847148,0.6427756804,4.283398317,0.480245266
8,0.9644444444,0.6044444444,0.6305555556,0.6294444444,0.4076256772,0.4856270306,0.03555555556,0.3955555556,0.3694444444,0.3705555556,0.5923743228,0.5143729694,0.9618181818,0.55875,0.6640467168,0.6634217168,0.4402370775,0.4905149746,0.1818181818,0.4375,0.4375,0.4375,0.3730458102,0.4004941661,0.09070736337,0.4375,0.3378171309,0.1072767857,0.2225,1.734462616,0.6960894094,4.128494606,0.5082351732
9,0.964,0.6196666667,0.6466666667,0.6426666667,0.4239680061,0.5029948333,0.036,0.3803333333,0.3533333333,0.3573333333,0.5760319939,0.4970051667,0.9616666667,0.5703921569,0.6715537726,0.6692008315,0.4491517479,0.5011264909,0.1666666667,0.4117647059,0.4117647059,0.4117647059,0.3524885073,0.3779909486,0.09183940692,0.4117647059,0.3355189092,0.1128027682,0.2237254902,1.753480043,0.7433844263,3.999684631,0.5785540609
