k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
0,0.953333333333335,0.4375,0.6187184335382284,0.6187184335382284,0.400213068181818,0.6666666666666659,0.875,0.875,0.875,0.800426136363636,0.0118621141443105,0.875,0.2251221802536836,0.0133928571428571,0.125,1.4298187876321184,0.0,9.210340371976168,0.440400855203434
1,0.9549999999999988,0.4203703703703702,0.5810830520339804,0.5840460149969434,0.3661958215760301,0.5,0.7777777777777771,0.7777777777777771,0.7777777777777771,0.6820699828988515,0.030007882604111,0.7777777777777771,0.2251221802536836,0.0363315696649029,0.1907407407407406,1.5845880101275014,0.0,6.6383520679938055,0.4825743941082597
2,0.9480000000000004,0.4269999999999999,0.5734747468305824,0.5794747468305824,0.3652331217975512,0.3999999999999991,0.7000000000000013,0.7000000000000013,0.7000000000000013,0.6067338924997696,0.0439486696042335,0.7000000000000013,0.3119384432880467,0.0573428571428572,0.2229999999999997,1.669205932568404,0.0,5.603964609923647,0.4421190507457258
3,0.9516666666666672,0.4466666666666659,0.5881588607550755,0.5930073456035604,0.3848108625858378,0.3333333333333329,0.6363636363636349,0.6363636363636349,0.6363636363636349,0.5566179846156982,0.0550533255033916,0.6363636363636349,0.3274504440053576,0.0732939787485241,0.2351515151515152,1.7261938245992388,0.3361032717537028,5.488738747664898,0.4723682324247961
4,0.9499999999999992,0.4770833333333336,0.6013678445810421,0.6152567334699309,0.4109743267349592,0.2857142857142854,0.5833333333333341,0.5833333333333341,0.5833333333333341,0.5162714195352875,0.0671024759427607,0.5833333333333341,0.3355923321934642,0.0825892857142856,0.2312499999999999,1.751924269728631,0.4311712962609277,5.03763591439423,0.5041536783667298
5,0.9524999999999983,0.5123076923076924,0.6222882667927564,0.6392113437158331,0.4436064015362356,0.25,0.5384615384615397,0.5384615384615397,0.5384615384615397,0.4841669654243496,0.0744384769824209,0.5384615384615397,0.3382562223035587,0.0864243448858834,0.218461538461538,1.7272302609781878,0.5123039396815564,4.716586470340998,0.5262294354076181
6,0.9522222222222232,0.54,0.6485533905932737,0.6652200572599406,0.4760950495121617,0.2222222222222216,0.5,0.5,0.5,0.4578280021086787,0.0795804808395468,0.5000000000000001,0.3401913921220345,0.0899999999999999,0.21,1.789263162594948,0.5820964224856199,4.474192803227892,0.5567639357352386
7,0.9499999999999996,0.5442222222222226,0.6522053867759439,0.6592053867759443,0.4778580239259981,0.1999999999999996,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.425632003685057,0.0866293920689028,0.4666666666666679,0.3397848586268794,0.1016888888888889,0.2224444444444443,1.8305080805668987,0.6427756803804603,4.283398317228332,0.5475127244695691
8,0.9481818181818186,0.5504166666666669,0.6527967167691142,0.664255050102448,0.4832351753023596,0.1818181818181818,0.4375,0.4375,0.4375,0.3988501382163539,0.0917280811730972,0.4375,0.3377788850218068,0.1112946428571427,0.2308333333333334,1.8446088079602123,0.6960894093896066,4.128494606289634,0.5507007538367976
9,0.9466666666666658,0.5603921568627455,0.6613576942140682,0.6702792628415195,0.493597631436026,0.1666666666666674,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3766911898149231,0.0940282725186318,0.411764705882353,0.3353853066180616,0.1178447849728126,0.2337254901960783,1.8138187039556235,0.7433844262934233,3.999684631293861,0.5767465333200831
10,0.9461538461538448,0.5771296296296297,0.6720230074984717,0.6795230074984717,0.5087739783001062,0.1538461538461534,0.3888888888888885,0.3888888888888885,0.3888888888888885,0.3578203403061099,0.0947097775130687,0.3888888888888886,0.3327297987025349,0.1196516754850088,0.2284259259259261,1.83262434271758,0.7857014909696727,3.890514090846237,0.5693385568887215
11,0.9478571428571442,0.5942105263157899,0.685249866752939,0.6898112702617112,0.5260003084020439,0.1428571428571424,0.3684210526315792,0.3684210526315792,0.3684210526315792,0.3413911174383134,0.0995006834861321,0.3684210526315792,0.328983794307057,0.1199525128611001,0.2215789473684209,1.8301928967769387,0.8238527918534547,3.796542661377545,0.5956339058472642
12,0.9486666666666664,0.6124166666666666,0.6977373734152914,0.7049040400819584,0.5453151228598476,0.1333333333333334,0.3500000000000006,0.3500000000000006,0.3500000000000006,0.3270372234028944,0.1019478948773376,0.3500000000000006,0.3252278902245292,0.1184392857142856,0.2125833333333332,1.8421787107584413,0.8584798004741662,3.714606333265916,0.6038949157105071
13,0.9500000000000012,0.6288888888888892,0.7129244826177379,0.7168133715066267,0.5638290584992866,0.1249999999999999,0.333333333333333,0.3333333333333329,0.3333333333333329,0.3140169637457115,0.1036615484957136,0.3333333333333329,0.3212285814492812,0.1168253968253966,0.2044444444444444,1.8402210494768725,0.8900954248573255,3.642384019178526,0.5943671224912539
14,0.9500000000000004,0.6329545454545454,0.7125642788623865,0.7177915515896588,0.5662349905463757,0.1176470588235295,0.3181818181818175,0.3181818181818175,0.3181818181818174,0.2994033996569036,0.103981055298095,0.3181818181818174,0.3173593383751212,0.1215318772136954,0.2079545454545454,1.8531795378923468,0.9191146573001832,3.578130795349369,0.563188739011939
15,0.9511111111111106,0.6421739130434783,0.7136846725350362,0.7212933681872107,0.5724653837969859,0.1111111111111112,0.3043478260869569,0.3043478260869569,0.3043478260869568,0.2864622951356813,0.1027313720118539,0.3043478260869568,0.3132518587881009,0.1226248987307588,0.2056521739130434,1.8448377993930172,0.9458770065884844,3.5205071849819256,0.5738423187536373
