k,p_ok_griebel_innovation_mean,p_ok_griebel_innovation_q05,p_ok_griebel_innovation_q50,p_ok_griebel_innovation_q95,p_ok_radial_mean,p_ok_radial_q05,p_ok_radial_q50,p_ok_radial_q95,p_ok_x_mean,p_ok_x_q05,p_ok_x_q50,p_ok_x_q95,p_ok_y_mean,p_ok_y_q05,p_ok_y_q50,p_ok_y_q95,p_ok_comp_mean,p_ok_comp_q05,p_ok_comp_q50,p_ok_comp_q95,p_ok_overall_mean,p_ok_overall_q05,p_ok_overall_q50,p_ok_overall_q95,u_griebel_innovation_mean,u_griebel_innovation_q05,u_griebel_innovation_q50,u_griebel_innovation_q95,u_radial_mean,u_radial_q05,u_radial_q50,u_radial_q95,u_x_mean,u_x_q05,u_x_q50,u_x_q95,u_y_mean,u_y_q05,u_y_q50,u_y_q95,u_comp_mean,u_comp_q05,u_comp_q50,u_comp_q95,u_overall_mean,u_overall_q05,u_overall_q50,u_overall_q95,griebel_multinomial_dc_mean,griebel_multinomial_dc_q05,griebel_multinomial_dc_q50,griebel_multinomial_dc_q95,griebel_multinomial_uncertainty_mean,griebel_multinomial_uncertainty_q05,griebel_multinomial_uncertainty_q50,griebel_multinomial_uncertainty_q95,griebel_multinomial_threshold_mean,griebel_multinomial_threshold_q05,griebel_multinomial_threshold_q50,griebel_multinomial_threshold_q95,dc_josang_history_mean,dc_josang_history_q05,dc_josang_history_q50,dc_josang_history_q95,dc_norm_history_mean,dc_norm_history_q05,dc_norm_history_q50,dc_norm_history_q95,nis_score_mean,nis_score_q05,nis_score_q50,nis_score_q95,nis_lower_band_mean,nis_lower_band_q05,nis_lower_band_q50,nis_lower_band_q95,nis_upper_band_mean,nis_upper_band_q05,nis_upper_band_q50,nis_upper_band_q95
0,0.9466666666666681,0.6333333333333334,0.9666666666666668,0.9666666666666668,0.4375,0.4375,0.4375,0.4375,0.6187184335382284,0.6187184335382291,0.6187184335382291,0.6187184335382291,0.6187184335382284,0.6187184335382291,0.6187184335382291,0.6187184335382291,0.38281250000000006,0.3828125000000001,0.3828125000000001,0.3828125000000001,0.400213068181818,0.4002130681818182,0.4002130681818182,0.40021306818181823,0.6666666666666659,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.765625,0.765625,0.765625,0.765625,0.800426136363636,0.8004261363636364,0.8004261363636364,0.8004261363636365,0.011807645740785268,0.011199117432779621,0.011243151667966163,0.013748789743267298,0.875,0.875,0.875,0.875,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.013392857142857144,0.013392857142857146,0.013392857142857146,0.013392857142857146,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.12500000000000003,1.375260788517638,0.04790658489184481,1.1641292724041676,3.6157316760834513,0.0,0.0,0.0,0.0,9.210340371976168,9.21034037197618,9.21034037197618,9.21034037197618
1,0.937499999999999,0.725,0.975,0.975,0.4166666666666665,0.38888888888888895,0.425925925925926,0.425925925925926,0.5807126816636102,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.5833052742562025,0.5499719409228704,0.5870089779599075,0.5870089779599075,0.33873688526818635,0.3228384669477607,0.3445795402055351,0.3445795402055351,0.36448529012656683,0.34394958015998767,0.3718770757058506,0.3718770757058506,0.5,0.5,0.5,0.5,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6341311677352346,0.6218127780386351,0.638687284472332,0.638687284472332,0.6816547818012992,0.6716624939052913,0.6853621016155609,0.6853621016155609,0.03149481763870952,0.021545936910999087,0.031172796383955127,0.040144553110353066,0.7777777777777771,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.22512218025368366,0.22512218025368355,0.22512218025368355,0.22512218025368355,0.037037037037036986,0.035273368606701924,0.03527336860670194,0.042328042328042326,0.19444444444444423,0.1851851851851851,0.18518518518518515,0.22222222222222218,1.6708022825374078,0.2727611319161136,1.3400866164290162,3.991562311620708,0.0,0.0,0.0,0.0,6.6383520679938055,6.638352067993811,6.638352067993811,6.638352067993811
2,0.9460000000000005,0.7799999999999999,0.98,0.98,0.42249999999999993,0.3975,0.42500000000000004,0.45000000000000007,0.5754747468305824,0.5449747468305833,0.5949747468305833,0.5949747468305834,0.5784747468305824,0.5449747468305833,0.5949747468305833,0.5949747468305834,0.33295085848021594,0.29699747468305837,0.3242462120245876,0.35399494936611675,0.3641301049748077,0.33064908734957227,0.36764709135929163,0.3889586566914548,0.39999999999999913,0.3999999999999998,0.3999999999999998,0.3999999999999999,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.7000000000000013,0.7,0.7,0.7,0.5572482830395681,0.5310050506338833,0.551507575950825,0.5720101012677667,0.6070912734161041,0.5862168288030766,0.6027561457317689,0.6186222464656164,0.04690942739675854,0.022430918063914413,0.04767036445642924,0.06476055360748502,0.7000000000000013,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.3119384432880467,0.3119384432880472,0.3119384432880472,0.3119384432880472,0.05850000000000006,0.05142857142857143,0.05785714285714287,0.06492857142857142,0.22749999999999979,0.19999999999999998,0.22500000000000003,0.2524999999999999,1.7636404036820077,0.31610011676223065,1.635445536293949,3.85510698887977,0.0,0.0,0.0,0.0,5.603964609923647,5.603964609923643,5.603964609923643,5.603964609923643
3,0.943333333333334,0.8166666666666667,0.9833333333333334,0.9833333333333334,0.44787878787878754,0.37878787878787884,0.43939393939393945,0.5,0.5863406789368937,0.5105831031793182,0.5711891637853788,0.6317952243914393,0.5960376486338634,0.5105831031793182,0.5711891637853788,0.6317952243914393,0.34961886061876124,0.29163953574793855,0.360874585903742,0.3991652055638293,0.38576032545481326,0.34169425331050074,0.3907423616590571,0.43969907578201506,0.3333333333333329,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5102388627845158,0.4727356208824518,0.5179202496801194,0.5405125640789532,0.5569036293371716,0.528167837439978,0.5629746261607538,0.5790430628615006,0.05953980964317124,0.03698125172661781,0.058558643841819184,0.09351980372864745,0.6363636363636349,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.32745044400535767,0.3274504440053579,0.3274504440053579,0.3274504440053579,0.0729161747343565,0.05667060212514757,0.0755608028335301,0.09445100354191263,0.23393939393939409,0.18181818181818177,0.24242424242424238,0.303030303030303,1.7612258871002808,0.4146043279762485,1.5730208939729295,3.47685299588865,0.3361032717537028,0.33610327175370247,0.33610327175370247,0.33610327175370247,5.488738747664898,5.488738747664883,5.488738747664883,5.488738747664883
4,0.9442857142857133,0.842857142857143,0.9857142857142858,0.9857142857142858,0.47291666666666693,0.4305555555555555,0.5,0.5694444444444444,0.6097011779143753,0.48192340013659724,0.6208122890254861,0.6902567334699306,0.6173400668032645,0.5513678445810417,0.6208122890254861,0.6902567334699306,0.3766919628172692,0.30400650003794377,0.3854078982050637,0.43091658748971506,0.41363418991985357,0.34877535372471224,0.40346252671753124,0.45900444053005296,0.2857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142858,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.47767317313089364,0.43519687646732264,0.482656425812095,0.5075726892181004,0.5188158695303903,0.4877846942817943,0.522917300279377,0.5396731535093787,0.07259364862169305,0.0368525245227422,0.0713545755690318,0.10407712679148284,0.5833333333333341,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3355923321934642,0.3355923321934648,0.3355923321934648,0.3355923321934648,0.08407738095238092,0.04960317460317456,0.07440476190476186,0.09920634920634917,0.2354166666666665,0.13888888888888876,0.20833333333333323,0.2777777777777777,1.7548079216097958,0.6022319489597312,1.5249483235284909,3.536184372781368,0.43117129626092776,0.43117129626092776,0.43117129626092776,0.43117129626092776,5.03763591439423,5.037635914394234,5.037635914394234,5.037635914394234
5,0.9437499999999983,0.8625,0.9875,0.9875,0.49692307692307686,0.42307692307692313,0.5,0.5769230769230769,0.6307498052542946,0.5345959591004488,0.6115190360235256,0.6884421129466025,0.6384421129466021,0.5345959591004488,0.6115190360235256,0.6884421129466025,0.4028895460995178,0.32691560557117855,0.4209954572671055,0.4739525428783827,0.44066798543137103,0.3913672068982003,0.42413011330975203,0.5167009581831579,0.25,0.25,0.2500000000000001,0.2500000000000001,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615397,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.45007889596664513,0.4112575462540927,0.459784233394783,0.48404757696512823,0.48590393442660995,0.4588966234311498,0.49297083061415503,0.5083009273631137,0.08259471470386912,0.0517476766334885,0.08395067615240553,0.1181361495711534,0.5384615384615397,0.5384615384615385,0.5384615384615385,0.5384615384615385,0.3382562223035586,0.3355923321934648,0.33934429009500533,0.33934429009500533,0.09251056635672027,0.06086221470836852,0.0912933220625528,0.12172442941673711,0.23384615384615345,0.15384615384615374,0.23076923076923067,0.30769230769230765,1.7872201455514942,0.7833686734066011,1.6739541191850478,3.417958494968849,0.5123039396815564,0.5123039396815555,0.5123039396815555,0.5123039396815555,4.716586470340998,4.716586470341004,4.716586470341004,4.716586470341004
6,0.9455555555555567,0.8722222222222222,0.9888888888888889,0.9888888888888889,0.5341666666666666,0.4166666666666668,0.5,0.6666666666666665,0.6660533905932737,0.5993867239266071,0.686886723926607,0.7702200572599405,0.6668867239266072,0.6035533905932737,0.686886723926607,0.7702200572599405,0.44432105250184656,0.35733225085219256,0.43972086912079617,0.5290539318338443,0.48177498753647285,0.41545401942736987,0.4843638101945855,0.5585741678405246,0.22222222222222168,0.222222222222222,0.222222222222222,0.222222222222222,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,0.5000000000000001,0.4333023394407525,0.39644660940672627,0.4330582617584078,0.4696699141100894,0.4614103183004663,0.4375,0.46189899977285137,0.48391504294495546,0.08578165713564692,0.045212043182776336,0.0844330979291622,0.1281015489238213,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.34018130757409365,0.33934429009500533,0.340352744889087,0.340352744889087,0.09249999999999993,0.03571428571428573,0.10714285714285711,0.14285714285714285,0.21583333333333332,0.0833333333333334,0.24999999999999992,0.3333333333333333,1.770307083539837,0.7013080903917379,1.6658353642873562,3.4969204436710197,0.5820964224856199,0.5820964224856204,0.5820964224856204,0.5820964224856204,4.474192803227892,4.474192803227897,4.474192803227897,4.474192803227897
7,0.9449999999999994,0.79,0.99,0.99,0.5424444444444447,0.4111111111111112,0.5555555555555556,0.6333333333333333,0.660427608998166,0.5738720534426112,0.6633164978870556,0.7299831645537223,0.6596498312203884,0.5744276089981667,0.6633164978870556,0.7299831645537223,0.435635429944728,0.34243583966079144,0.43261859305929207,0.5328754205318667,0.48046353398953434,0.41660834922410506,0.47953721486751577,0.548926492712444,0.19999999999999965,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.46666666666666673,0.46666666666666656,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.46666666666666673,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.3982303746784453,0.35749869104878773,0.39698503610363833,0.4364713811584888,0.4271127985900015,0.3999342089079415,0.4269027006545949,0.45064947966216506,0.09040133988091721,0.045062309057786756,0.09041059386417985,0.13496440897960987,0.4666666666666679,0.46666666666666684,0.46666666666666684,0.46666666666666684,0.33984543316151494,0.3395955632061438,0.3395955632061438,0.340352744889087,0.10250158730158734,0.06095238095238098,0.09650793650793653,0.1625396825396825,0.2242222222222221,0.1333333333333334,0.21111111111111114,0.35555555555555546,1.7912752239225893,0.793927120767047,1.647308629558263,3.121903813426156,0.6427756803804603,0.6427756803804616,0.6427756803804616,0.6427756803804616,4.283398317228332,4.283398317228336,4.283398317228336,4.283398317228336
8,0.9463636363636354,0.8090909090909091,0.990909090909091,0.990909090909091,0.5523958333333333,0.4583333333333334,0.5520833333333334,0.625,0.6650883834357814,0.5687342167691146,0.6635258834357813,0.7468592167691146,0.6669633834357814,0.5697758834357813,0.6635258834357813,0.7171717167691145,0.44331621525363524,0.3660930592622174,0.44500818705280115,0.5123607573141951,0.49000718348598943,0.4239014196789021,0.49199408576312853,0.5627745501295729,0.18181818181818188,0.18181818181818177,0.18181818181818188,0.18181818181818188,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.37422043407606315,0.3435734300866765,0.3756086258943978,0.39976850273272097,0.4013561651261364,0.38135546671164344,0.40260082583491796,0.4171736407931406,0.09518120125290866,0.0435070513541499,0.09533331060582396,0.1421266639938249,0.43750000000000006,0.43750000000000017,0.43750000000000017,0.43750000000000017,0.33777888502180686,0.3376832703805253,0.3376832703805253,0.33777888502180625,0.11034040178571419,0.07533482142857142,0.11049107142857142,0.1556919642857143,0.2288541666666666,0.15624999999999997,0.22916666666666663,0.32291666666666663,1.8645887815631625,0.7842832905396503,1.750422473088228,3.3090046115953937,0.6960894093896066,0.6960894093896071,0.6960894093896071,0.6960894093896071,4.128494606289634,4.128494606289638,4.128494606289638,4.128494606289638
9,0.9499999999999983,0.8250000000000002,0.9916666666666667,0.9916666666666667,0.5653921568627454,0.47058823529411764,0.5784313725490196,0.6485294117647057,0.6666518118611274,0.5558674981356373,0.6637106353905393,0.7617498510768137,0.6759655373513234,0.5852792628415197,0.6931224000964216,0.7617498510768137,0.45065047068461195,0.38528421444336614,0.45121893648280764,0.5302018378312947,0.500076375883454,0.4385288128693257,0.4980486315045916,0.5688477630047698,0.16666666666666743,0.16666666666666707,0.16666666666666707,0.16666666666666718,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.41176470588235303,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3529378129560353,0.3303542931432565,0.3540019578686794,0.38036910403752594,0.37834918787207833,0.3640097401854203,0.3793655289318809,0.3950352201316076,0.09727011680746868,0.05120852680726229,0.10367388752666915,0.1417163497195058,0.411764705882353,0.41176470588235314,0.41176470588235314,0.41176470588235314,0.3354387476357934,0.33501121949393997,0.33501121949393997,0.3376832703805253,0.11532377656945136,0.07340583292140387,0.10874938210578351,0.16312407315867522,0.22872549019607827,0.14558823529411766,0.21568627450980393,0.3235294117647058,1.8969152333819985,0.8637063895950672,1.8485735133737031,3.222823405842089,0.7433844262934233,0.7433844262934236,0.7433844262934236,0.7433844262934236,3.9996846312938614,3.999684631293865,3.999684631293865,3.999684631293865
