num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
5,25,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,19.0,1.9000000000000001,0.15,0.85,0.0,0.32591208736525423,0.9202056376363683,1.2582084760859429,3.970927422779099
5,25,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,42.0,4.2,0.13,0.87,0.0,0.35471360290816883,0.7865675517226933,0.7583449121460678,2.077781262789668
5,25,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,69.0,6.9,0.1,0.9,0.0,0.5377176692916861,0.794712169478387,0.3108220514418344,1.0256832163208238
5,25,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,25.0,2.5,0.12,0.88,0.0,0.4666922057198214,0.7822443786426094,0.384027147034413,0.9700072176398135
5,25,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,30.0,3.0,46.0,4.6000000000000005,0.12,0.18,0.7,0.7576535483685031,0.9999999967143326,3.0762588689022863,4.685813908554918
5,25,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.5,0.5,0.0,0.1028105681626498,0.5859627085567178,0.7730004400459154,1.9952803799749892
5,25,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,17.0,1.7000000000000002,0.28,0.72,0.0,0.3013530546687639,0.9111175447683638,1.2582084760859429,3.970927422779099
5,25,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,41.0,4.1000000000000005,0.17,0.83,0.0,0.2999109652369063,0.7251357393483571,0.7583449121460678,2.077781262789668
5,25,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,68.0,6.800000000000001,0.14,0.86,0.0,0.48555415957177056,0.7852595906721959,0.3108220514418344,1.0256832163208238
5,25,0.98,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,27.0,2.7,0.17,0.83,0.0,0.40375295747376055,0.7650240054269084,0.384027147034413,0.9700072176398135
5,25,0.98,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,28.0,2.8000000000000003,46.0,4.6000000000000005,0.19,0.09,0.72,0.7536748259838432,0.9999999999977415,3.0762588689022863,4.685813908554918
5,25,0.98,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.645,0.355,0.0,0.07995398104887047,0.5452087034158459,0.7730004400459154,1.9952803799749892
5,25,0.99,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,12.0,1.2000000000000002,0.4,0.6,0.0,0.2570054731344499,0.8358918213214444,1.2582084760859429,3.970927422779099
5,25,0.99,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.21,0.79,0.0,0.239346264734989,0.647495410725334,0.7583449121460678,2.077781262789668
5,25,0.99,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,67.0,6.7,0.18,0.82,0.0,0.4847854818491229,0.7822674849511744,0.3108220514418344,1.0256832163208238
5,25,0.99,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,28.0,2.8000000000000003,0.23,0.77,0.0,0.33781127775248265,0.7271918801536408,0.384027147034413,0.9700072176398135
5,25,0.99,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,29.0,2.9000000000000004,45.0,4.5,0.21,0.08,0.71,0.7565641758201115,0.999999999999344,3.0762588689022863,4.685813908554918
5,25,0.99,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.715,0.285,0.0,0.05374594862266851,0.3319122424659991,0.7730004400459154,1.9952803799749892
5,25,0.995,0.5,0.95,0.5,0,0,measurement_outliers,100,200,0,,,9.0,0.9,0.45,0.55,0.0,0.26582003286792877,0.8656872358563883,1.2582084760859429,3.970927422779099
5,25,0.995,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,34.0,3.4000000000000004,0.31,0.69,0.0,0.22405600278990043,0.5727396663169844,0.7583449121460678,2.077781262789668
5,25,0.995,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,66.0,6.6000000000000005,0.21,0.79,0.0,0.408546638104538,0.7417444793225514,0.3108220514418344,1.0256832163208238
5,25,0.995,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,28.0,2.8000000000000003,0.28,0.72,0.0,0.2920850257735822,0.7258313872101544,0.384027147034413,0.9700072176398135
5,25,0.995,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,28.0,2.8000000000000003,46.0,4.6000000000000005,0.21,0.07,0.72,0.7682058606120258,0.9999999999996836,3.0762588689022863,4.685813908554918
5,25,0.995,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,0.0,0.0,0.74,0.26,0.0,0.037616518529455065,0.24319418710032856,0.7730004400459154,1.9952803799749892
