rank,num_bins,short_window_size,discount,base_rate,eta,tau_ok,num_runs,nominal_consistent_rate_mean,nominal_consistent_rate_std,nominal_consistent_rate_median,nominal_undecided_rate_mean,nominal_undecided_rate_std,nominal_undecided_rate_median,nominal_false_inconsistent_rate_mean,nominal_false_inconsistent_rate_std,nominal_false_inconsistent_rate_median,fault_false_consistent_rate_mean,fault_false_consistent_rate_std,fault_false_consistent_rate_median,fault_undecided_rate_mean,fault_undecided_rate_std,fault_undecided_rate_median,fault_inconsistent_rate_mean,fault_inconsistent_rate_std,fault_inconsistent_rate_median,decision_coverage_mean,decision_coverage_std,decision_coverage_median,selective_accuracy_mean,selective_accuracy_std,selective_accuracy_median,selective_risk_mean,selective_risk_std,selective_risk_median,balanced_three_state_accuracy_mean,balanced_three_state_accuracy_std,balanced_three_state_accuracy_median,q_inconsistent_roc_auc_mean,q_inconsistent_roc_auc_std,q_inconsistent_roc_auc_median,q_inconsistent_average_precision_mean,q_inconsistent_average_precision_std,q_inconsistent_average_precision_median,q_inconsistent_mean_separation_mean,q_inconsistent_mean_separation_std,q_inconsistent_mean_separation_median,region_transitions_per_1000_steps_mean,region_transitions_per_1000_steps_std,region_transitions_per_1000_steps_median,mean_region_dwell_steps_mean,mean_region_dwell_steps_std,mean_region_dwell_steps_median,event_detection_rate_mean,event_detection_rate_std,event_detection_rate_median,mean_detection_delay_steps_mean,mean_detection_delay_steps_std,mean_detection_delay_steps_median,median_detection_delay_steps_mean,median_detection_delay_steps_std,median_detection_delay_steps_median,worst_detection_delay_steps_mean,worst_detection_delay_steps_std,worst_detection_delay_steps_median,mean_recovery_delay_steps_mean,mean_recovery_delay_steps_std,mean_recovery_delay_steps_median,undetected_event_count_mean,undetected_event_count_std,undetected_event_count_median,safety_feasible,pareto_optimal
1,7,35,0.95,0.5,0.95,0.5,20,0.5153153153153153,0.06567444311251974,0.5277777777777778,0.46073573573573573,0.07096422628455888,0.4692192192192192,0.02394894894894895,0.017641843953552727,0.03153153153153153,0.175,0.04154249309497024,0.1707142857142857,0.7598571428571429,0.0532103621705405,0.765,0.06514285714285714,0.04332922947324859,0.08571428571428572,0.3859809663250366,0.043868524254459466,0.38543191800878474,0.7365817832797764,0.051135833538373546,0.7340340179717586,0.2634182167202236,0.05113583353837355,0.26596598202824134,0.2902290862290863,0.04044276953450723,0.28061239811239813,0.763558344058344,0.030406560442332697,0.768970398970399,0.757860221249927,0.03509639134919819,0.7505746431500506,0.22047247502628337,0.038384604817319715,0.21932452490264487,44.58272327964861,9.585940073236365,44.289897510980964,23.169786302506743,5.806928837654538,22.248146186440678,0.14166666666666666,0.08156008082159882,0.16666666666666666,56.96875,43.17115887179001,40.0,56.96875,43.17115887179001,40.0,58.8125,44.1334623613421,40.0,34.09166666666667,6.5946715598622605,33.0,5.15,0.489360484929593,5.0,False,True
2,5,25,0.95,0.5,0.95,0.5,20,0.6225591715976331,0.06562144885449644,0.6205621301775148,0.355103550295858,0.06271409808887399,0.35133136094674555,0.022337278106508877,0.015491894131015779,0.028846153846153848,0.1945,0.04876184479750385,0.18571428571428572,0.7295,0.04786140705949089,0.73,0.076,0.042697949952926306,0.09071428571428572,0.4544331395348837,0.03713558369810572,0.44694767441860467,0.7587061686429435,0.04311792829345086,0.7687806538784803,0.24129383135705657,0.04311792829345086,0.23121934612151968,0.34927958579881657,0.03161451698678599,0.34638841927303465,0.7903365384615384,0.033732593110086785,0.7845097210481826,0.7831455094659314,0.0334253537286105,0.7789156972353519,0.26052399165970574,0.04406590074408907,0.2503985578912641,50.763081395348834,8.525173796824395,52.325581395348834,19.956676646404343,3.443711943876696,18.84931506849315,0.19166666666666665,0.09785715810206662,0.16666666666666666,64.47222222222223,40.1513578344209,41.0,64.47222222222223,40.1513578344209,41.0,76.05555555555556,51.2484975070687,41.0,24.625,5.038412390347249,23.25,4.85,0.5871429486123998,5.0,False,True
3,10,50,0.95,0.5,0.95,0.5,20,0.454147465437788,0.07363542743003564,0.46543778801843316,0.5218125960061444,0.0726776932615836,0.5345622119815668,0.024039938556067588,0.019992741055944677,0.029953917050691246,0.20571428571428568,0.05677324069745434,0.19857142857142857,0.7563571428571428,0.06638991518151544,0.7792857142857142,0.03792857142857143,0.03244585674263657,0.04857142857142857,0.3566617320503331,0.05208339778786249,0.3601036269430052,0.6707485515623592,0.057728903371877784,0.6803884281232189,0.3292514484376408,0.0577289033718778,0.31961157187678113,0.2460380184331797,0.03643718677083695,0.2358678955453149,0.6909570989686197,0.04489599358011476,0.6999067368883036,0.6788174229276358,0.044617859854164485,0.6804983719579563,0.11819835053241161,0.03143807821252794,0.1153843793019651,33.78978534418949,7.663292263256278,33.30866025166543,30.300734876713427,6.54414633866778,29.369565217391305,0.11666666666666665,0.09520676176291322,0.16666666666666666,63.34615384615385,11.778130538177907,62.0,63.34615384615385,11.778130538177907,62.0,65.61538461538461,17.457273849499245,62.0,45.33416666666666,7.513625975013507,43.3,5.3,0.5712405705774795,5.0,False,True
4,7,35,0.98,0.5,0.95,0.5,20,0.6507507507507507,0.05642424821674836,0.6636636636636637,0.3237987987987988,0.050886399006880356,0.3055555555555556,0.02545045045045045,0.0186997307797511,0.03303303303303303,0.2739285714285714,0.04838059592748526,0.27714285714285714,0.662,0.05589117860027291,0.6614285714285715,0.06407142857142857,0.04346257819716377,0.08428571428571428,0.502891654465593,0.03825838914040056,0.5047584187408491,0.6969493404025816,0.0373654197877204,0.6902689515415035,0.30305065959741834,0.03736541978772041,0.30973104845849647,0.3574110896610897,0.02780945946400886,0.3663803088803089,0.7429440154440154,0.031275458832862486,0.7461368511368511,0.7388699502465833,0.0365836712583519,0.7305896411873559,0.1974613407618915,0.03791500670639801,0.19455049861324078,30.636896046852126,6.630295276820245,31.112737920937043,33.31109941122696,7.343043878192405,31.40644820295983,0.14166666666666666,0.08156008082159882,0.16666666666666666,57.65625,43.13958690499172,40.5,57.65625,43.13958690499172,40.5,59.5,44.11651240370964,40.5,31.166666666666668,6.0538518983385705,29.166666666666664,5.15,0.489360484929593,5.0,False,True
5,5,25,0.98,0.5,0.95,0.5,20,0.7550295857988166,0.0489600394455479,0.764792899408284,0.22056213017751478,0.047344333404467816,0.20414201183431951,0.02440828402366864,0.016876740077000824,0.03180473372781065,0.2987857142857143,0.06387130421097703,0.30428571428571427,0.6265714285714286,0.05951540792837408,0.6221428571428571,0.07464285714285715,0.04467780586904141,0.09357142857142858,0.5728924418604651,0.035641363708790494,0.5715843023255813,0.7148703812689872,0.04262719318122078,0.7169672248461428,0.28512961873101283,0.042627193181220775,0.28303277515385716,0.4148362214708369,0.02588595064428135,0.4207988165680473,0.7768898985629755,0.032806075301040634,0.7762975486052408,0.7652887646607673,0.03603861685536007,0.7677981412457717,0.23202324520199932,0.0449530145492336,0.22244889607057253,30.087209302325583,7.952000073696571,29.433139534883722,34.56824162758312,9.042899676247282,33.2,0.175,0.08506963092234006,0.16666666666666666,60.861111111111114,42.37223201285995,37.0,60.861111111111114,42.37223201285995,37.0,68.27777777777777,52.52988567367046,37.0,22.591666666666665,4.191496194782621,22.083333333333336,4.95,0.5104177855340405,5.0,False,True
6,5,35,0.95,0.5,0.95,0.5,20,0.7759009009009008,0.03986576152903451,0.777027027027027,0.1966216216216216,0.0379774288440162,0.19144144144144143,0.02747747747747748,0.018480318625907512,0.03753753753753754,0.34114285714285714,0.06432262933422664,0.3514285714285714,0.5909285714285714,0.0606663233820546,0.5835714285714286,0.06792857142857142,0.04183101137137745,0.08499999999999999,0.6013177159590044,0.034669911052577634,0.603221083455344,0.6881831023030551,0.03941055426105922,0.6887425351605022,0.3118168976969448,0.039410554261059244,0.3112574648394978,0.4219147361647361,0.022205579007885116,0.4228249678249678,0.7635286357786357,0.03128680649885493,0.7691344916344915,0.7504141143112599,0.035566290771565964,0.7510466531870463,0.21397043815887148,0.04312961652688417,0.20472368714276626,28.147877013177162,9.516763385820706,27.086383601756957,38.294507985120546,13.083268337370118,35.97227997227998,0.175,0.1008008864715499,0.16666666666666666,58.05882352941177,33.47521581004986,43.5,58.05882352941177,33.47521581004986,43.5,64.23529411764706,42.03351254024089,44.0,22.091666666666665,3.4937182558789694,22.333333333333332,4.95,0.6048053188292996,5.0,False,True
7,10,50,0.98,0.5,0.95,0.5,20,0.5831029185867895,0.0463875453756354,0.5791090629800307,0.3925499231950845,0.04398567922227583,0.3978494623655914,0.024347158218125962,0.020808470533252237,0.029185867895545316,0.34514285714285714,0.06708668262804861,0.3342857142857143,0.6236428571428572,0.06729940955399079,0.6214285714285714,0.031214285714285715,0.027236778540480112,0.03785714285714285,0.48771280532938566,0.04134273804871598,0.48038490007401924,0.6111859139374977,0.04433522162550709,0.611254054581372,0.38881408606250234,0.044335221625507085,0.3887459454186279,0.3071586021505376,0.022686969630237083,0.30188556067588324,0.6512366688610929,0.04428982736666621,0.6502249286811499,0.6393952098881084,0.04212264330876411,0.6457211280398512,0.08070969525018944,0.027132212400204313,0.08071275285365676,24.315321983715766,5.53010560264639,23.3160621761658,41.80845493396442,9.232338716556276,41.81666666666666,0.11666666666666665,0.09520676176291322,0.16666666666666666,69.88461538461539,12.007209372834177,70.0,69.88461538461539,12.007209372834177,70.0,72.15384615384616,17.676944277062113,70.0,41.32333333333334,4.755263012262256,42.25,5.3,0.5712405705774795,5.0,False,True
8,7,35,0.99,0.5,0.95,0.5,20,0.7021771771771772,0.052287200661013646,0.7072072072072072,0.2710960960960961,0.047013203450433305,0.2635135135135135,0.026726726726726723,0.019982711139783737,0.03528528528528528,0.3557142857142857,0.05582118143192085,0.365,0.5799285714285715,0.05824957415609383,0.5864285714285714,0.06435714285714286,0.043245049014101124,0.08428571428571428,0.5706442166910688,0.04270251028388376,0.5739385065885798,0.6584867414734933,0.03194830320067138,0.6547104855928385,0.3415132585265067,0.03194830320067138,0.3452895144071615,0.38326716001716005,0.02778482864633424,0.3903936078936079,0.7143028743028743,0.03332216018844878,0.7208086658086658,0.717334713908767,0.03830676248159527,0.7141094659713791,0.17738137539919624,0.040164631834897505,0.1752732549345878,25.512445095168374,4.59497240438971,25.988286969253295,39.350994705702284,7.745287816699861,37.43168168168168,0.14166666666666666,0.08156008082159882,0.16666666666666666,57.75,42.968981059984806,41.0,57.75,42.968981059984806,41.0,59.625,43.99526489672875,41.0,28.9,5.166355395264195,28.5,5.15,0.489360484929593,5.0,False,True
9,7,50,0.95,0.5,0.95,0.5,20,0.7091397849462366,0.04918362371374199,0.6989247311827957,0.261136712749616,0.04298764725932862,0.2680491551459293,0.029723502304147463,0.021901772732662472,0.03840245775729646,0.37464285714285717,0.054384308961542296,0.3828571428571429,0.5720714285714286,0.04631298509720996,0.562142857142857,0.053285714285714283,0.03853688232950047,0.06785714285714287,0.5777572168763878,0.03420810017562385,0.5780903034789046,0.6398412904355606,0.031827409733365675,0.6405180267414394,0.3601587095644394,0.031827409733365675,0.35948197325856057,0.38121274961597545,0.023504336060885478,0.3837480798771122,0.7127678297125302,0.033595261682681975,0.7234452490673688,0.7036348571668404,0.03880961159579425,0.6948461261311847,0.15186945731772067,0.034895474391982644,0.14966912163306137,21.354552183567726,5.80485666338252,20.72538860103627,48.096037003304964,12.16394022306688,46.58620689655172,0.125,0.09168660070336346,0.16666666666666666,52.0,8.15239464584109,51.5,52.0,8.15239464584109,51.5,54.142857142857146,15.240922356790428,51.5,30.1,4.9863556521831125,31.25,5.25,0.5501196042201808,5.0,False,True
10,5,25,0.99,0.5,0.95,0.5,20,0.7876479289940829,0.047138506979213034,0.7958579881656804,0.18653846153846154,0.04571057569812546,0.18195266272189348,0.025813609467455624,0.017774011185479662,0.03550295857988166,0.3752142857142857,0.06993978536426274,0.3857142857142857,0.5472857142857143,0.06482712696840301,0.54,0.0775,0.04359237755973421,0.09285714285714286,0.6299418604651164,0.03729132922435501,0.6384447674418605,0.6780839349789476,0.040190843846140197,0.6717406847639213,0.32191606502105236,0.040190843846140197,0.32825931523607865,0.43257396449704144,0.024360955615294118,0.432762045646661,0.7597458791208791,0.03507675123473062,0.7591251056635672,0.7510677180153323,0.040162410597280956,0.7506772807463726,0.22006578545883954,0.04909053644945519,0.21251115758086658,24.09156976744186,7.367257466379882,23.982558139534884,43.70788335275846,12.784175488787076,40.470588235294116,0.18333333333333332,0.09208437524218041,0.16666666666666666,59.80555555555556,39.511033041748526,40.0,59.80555555555556,39.511033041748526,40.0,67.77777777777777,46.963760190617506,40.0,21.791666666666664,4.158720493174658,20.833333333333332,4.9,0.5525062514530826,5.0,False,True
