num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,transition_type,boundary_step,window_start,window_end,source_region,target_region,source_present_before_boundary,completed,mediated_by_undecided,direct_switch,has_undecided_in_transition_path,settling_delay_steps,settling_delay_seconds,undecided_steps_before_target,transition_path_length_steps,undecided_fraction_on_transition_path
3,15,0.9,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,1,,,3,35,0.08571428571428572
3,15,0.9,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,10.0,1.0,9,10,0.9
3,15,0.9,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,20,35,0.5714285714285714
3,15,0.9,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
3,15,0.9,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,1,1,0,1,21.0,2.1,9,21,0.42857142857142855
3,15,0.9,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,16.0,1.6,16,16,1.0
3,15,0.9,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,28,35,0.8
3,15,0.9,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,26.0,2.6,24,26,0.9230769230769231
3,15,0.9,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,20.0,2.0,14,20,0.7
3,15,0.9,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,9,35,0.2571428571428571
3,15,0.9,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,9,35,0.2571428571428571
3,15,0.9,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,1,0,1,30.0,3.0,24,30,0.8
3,15,0.95,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.95,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,8.0,0.8,6,8,0.75
3,15,0.95,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,16,35,0.45714285714285713
3,15,0.95,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
3,15,0.95,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,1,1,0,1,28.0,2.8000000000000003,12,28,0.42857142857142855
3,15,0.95,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,16.0,1.6,16,16,1.0
3,15,0.95,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,27,35,0.7714285714285715
3,15,0.95,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,23.0,2.3000000000000003,22,23,0.9565217391304348
3,15,0.95,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,onset,900,895,935,1,-1,1,1,1,0,1,22.0,2.2,14,22,0.6363636363636364
3,15,0.95,0.5,0.9,0.5,0,4,coordinated_turn_model_mismatch,recovery,1000,995,1035,-1,1,1,0,0,0,1,,,7,35,0.2
3,15,0.95,0.5,0.9,0.5,0,5,process_noise_x_increased,onset,1100,1095,1135,1,-1,1,0,0,0,1,,,6,35,0.17142857142857143
3,15,0.95,0.5,0.9,0.5,0,5,process_noise_x_increased,recovery,1300,1295,1335,-1,1,0,1,1,0,1,30.0,3.0,27,30,0.9
3,15,0.98,0.5,0.9,0.5,0,0,measurement_outliers,onset,100,95,135,1,-1,1,0,0,0,0,,,0,35,0.0
3,15,0.98,0.5,0.9,0.5,0,0,measurement_outliers,recovery,200,195,235,-1,1,0,1,1,0,1,2.0,0.2,2,2,1.0
3,15,0.98,0.5,0.9,0.5,0,1,measurement_noise_x_increased,onset,300,295,335,1,-1,1,0,0,0,1,,,13,35,0.37142857142857144
3,15,0.98,0.5,0.9,0.5,0,1,measurement_noise_x_increased,recovery,400,395,435,-1,1,0,0,0,0,1,,,34,35,0.9714285714285714
3,15,0.98,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,onset,500,495,535,1,-1,1,0,0,0,1,,,19,35,0.5428571428571428
3,15,0.98,0.5,0.9,0.5,0,2,measurement_noise_xy_decreased,recovery,600,595,635,-1,1,1,1,1,0,1,16.0,1.6,16,16,1.0
3,15,0.98,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,onset,700,695,735,1,-1,1,0,0,0,1,,,22,35,0.6285714285714286
3,15,0.98,0.5,0.9,0.5,0,3,truncated_gaussian_measurement_noise,recovery,800,795,835,-1,1,0,1,1,0,1,22.0,2.2,21,22,0.9545454545454546
