num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,event_index,event_name,event_start,event_end,detected,detection_delay_steps,detection_delay_seconds,recovery_delay_steps,recovery_delay_seconds,event_consistent_rate,event_undecided_rate,event_inconsistent_rate,event_mean_q_inconsistent,event_max_q_inconsistent,event_mean_position_error,event_max_position_error
3,20,0.9,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,49.0,4.9,8.0,0.8,0.31,0.47,0.22,0.3544539833216824,0.9999022982861755,1.2582084760859429,3.970927422779099
3,20,0.9,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.18,0.82,0.0,0.224135302879523,0.6914210612328774,0.7583449121460678,2.077781262789668
3,20,0.9,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,42.0,4.2,0.14,0.84,0.02,0.6083525842494746,0.9577905894417482,0.3108220514418344,1.0256832163208238
3,20,0.9,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,24.0,2.4000000000000004,0.08,0.91,0.01,0.5111017989242577,0.9509480962954686,0.384027147034413,0.9700072176398135
3,20,0.9,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,25.0,2.5,36.0,3.6,0.1,0.15,0.75,0.8015334227966694,1.0,3.0762588689022863,4.685813908554918
3,20,0.9,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,1,43.0,4.3,32.0,3.2,0.62,0.35,0.03,0.13312768646078346,0.981703091511501,0.7730004400459154,1.9952803799749892
3,20,0.95,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,50.0,5.0,8.0,0.8,0.4,0.37,0.23,0.3510431915964929,0.999799831582118,1.2582084760859429,3.970927422779099
3,20,0.95,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.2,0.8,0.0,0.18914626558849867,0.6289856365882166,0.7583449121460678,2.077781262789668
3,20,0.95,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,37.0,3.7,0.15,0.84,0.01,0.5995258962649741,0.9531292439750926,0.3108220514418344,1.0256832163208238
3,20,0.95,0.5,0.95,0.5,0,3,truncated_gaussian_measurement_noise,700,800,0,,,24.0,2.4000000000000004,0.09,0.91,0.0,0.4676535926497156,0.9490223122876156,0.384027147034413,0.9700072176398135
3,20,0.95,0.5,0.95,0.5,0,4,coordinated_turn_model_mismatch,900,1000,1,27.0,2.7,37.0,3.7,0.14,0.13,0.73,0.785333755418376,1.0,3.0762588689022863,4.685813908554918
3,20,0.95,0.5,0.95,0.5,0,5,process_noise_x_increased,1100,1300,0,,,32.0,3.2,0.705,0.285,0.01,0.11396542820289796,0.9613753726335931,0.7730004400459154,1.9952803799749892
3,20,0.98,0.5,0.95,0.5,0,0,measurement_outliers,100,200,1,54.0,5.4,8.0,0.8,0.44,0.37,0.19,0.34255958782735524,0.9986197296417797,1.2582084760859429,3.970927422779099
3,20,0.98,0.5,0.95,0.5,0,1,measurement_noise_x_increased,300,400,0,,,39.0,3.9000000000000004,0.27,0.73,0.0,0.1330219532464587,0.5016323097077228,0.7583449121460678,2.077781262789668
3,20,0.98,0.5,0.95,0.5,0,2,measurement_noise_xy_decreased,500,600,0,,,35.0,3.5,0.16,0.84,0.0,0.5739844915842937,0.9156124528684245,0.3108220514418344,1.0256832163208238
