rank,num_bins,short_window_size,discount,base_rate,eta,tau_ok,num_runs,nominal_consistent_rate_mean,nominal_consistent_rate_std,nominal_consistent_rate_median,nominal_undecided_rate_mean,nominal_undecided_rate_std,nominal_undecided_rate_median,nominal_false_inconsistent_rate_mean,nominal_false_inconsistent_rate_std,nominal_false_inconsistent_rate_median,fault_false_consistent_rate_mean,fault_false_consistent_rate_std,fault_false_consistent_rate_median,fault_undecided_rate_mean,fault_undecided_rate_std,fault_undecided_rate_median,fault_inconsistent_rate_mean,fault_inconsistent_rate_std,fault_inconsistent_rate_median,steady_nominal_consistent_rate_mean,steady_nominal_consistent_rate_std,steady_nominal_consistent_rate_median,steady_nominal_undecided_rate_mean,steady_nominal_undecided_rate_std,steady_nominal_undecided_rate_median,steady_nominal_false_inconsistent_rate_mean,steady_nominal_false_inconsistent_rate_std,steady_nominal_false_inconsistent_rate_median,steady_fault_false_consistent_rate_mean,steady_fault_false_consistent_rate_std,steady_fault_false_consistent_rate_median,steady_fault_undecided_rate_mean,steady_fault_undecided_rate_std,steady_fault_undecided_rate_median,steady_fault_inconsistent_rate_mean,steady_fault_inconsistent_rate_std,steady_fault_inconsistent_rate_median,steady_undecided_rate_mean,steady_undecided_rate_std,steady_undecided_rate_median,steady_balanced_correct_rate_mean,steady_balanced_correct_rate_std,steady_balanced_correct_rate_median,steady_decision_coverage_mean,steady_decision_coverage_std,steady_decision_coverage_median,steady_selective_accuracy_mean,steady_selective_accuracy_std,steady_selective_accuracy_median,undecided_localization_precision_mean,undecided_localization_precision_std,undecided_localization_precision_median,transition_undecided_sample_rate_mean,transition_undecided_sample_rate_std,transition_undecided_sample_rate_median,transition_completion_rate_mean,transition_completion_rate_std,transition_completion_rate_median,mediated_transition_rate_mean,mediated_transition_rate_std,mediated_transition_rate_median,direct_transition_rate_mean,direct_transition_rate_std,direct_transition_rate_median,transition_undecided_presence_rate_mean,transition_undecided_presence_rate_std,transition_undecided_presence_rate_median,onset_mediated_transition_rate_mean,onset_mediated_transition_rate_std,onset_mediated_transition_rate_median,recovery_mediated_transition_rate_mean,recovery_mediated_transition_rate_std,recovery_mediated_transition_rate_median,mean_transition_settling_delay_steps_mean,mean_transition_settling_delay_steps_std,mean_transition_settling_delay_steps_median,median_transition_settling_delay_steps_mean,median_transition_settling_delay_steps_std,median_transition_settling_delay_steps_median,mean_undecided_steps_per_transition_mean,mean_undecided_steps_per_transition_std,mean_undecided_steps_per_transition_median,mean_transition_path_length_steps_mean,mean_transition_path_length_steps_std,mean_transition_path_length_steps_median,decision_coverage_mean,decision_coverage_std,decision_coverage_median,selective_accuracy_mean,selective_accuracy_std,selective_accuracy_median,selective_risk_mean,selective_risk_std,selective_risk_median,balanced_three_state_accuracy_mean,balanced_three_state_accuracy_std,balanced_three_state_accuracy_median,q_inconsistent_roc_auc_mean,q_inconsistent_roc_auc_std,q_inconsistent_roc_auc_median,q_inconsistent_average_precision_mean,q_inconsistent_average_precision_std,q_inconsistent_average_precision_median,q_inconsistent_mean_separation_mean,q_inconsistent_mean_separation_std,q_inconsistent_mean_separation_median,region_transitions_per_1000_steps_mean,region_transitions_per_1000_steps_std,region_transitions_per_1000_steps_median,mean_region_dwell_steps_mean,mean_region_dwell_steps_std,mean_region_dwell_steps_median,event_detection_rate_mean,event_detection_rate_std,event_detection_rate_median,mean_detection_delay_steps_mean,mean_detection_delay_steps_std,mean_detection_delay_steps_median,median_detection_delay_steps_mean,median_detection_delay_steps_std,median_detection_delay_steps_median,worst_detection_delay_steps_mean,worst_detection_delay_steps_std,worst_detection_delay_steps_median,mean_recovery_delay_steps_mean,mean_recovery_delay_steps_std,mean_recovery_delay_steps_median,undetected_event_count_mean,undetected_event_count_std,undetected_event_count_median,constraint_violation_count,normalized_constraint_violation,design_feasible,safety_feasible,pareto_optimal
1,7,35,0.9,0.5,0.95,0.5,20,0.35442942942942945,0.07040050092966352,0.3551051051051051,0.6226726726726727,0.07888108182587401,0.6343843843843844,0.0228978978978979,0.016704925637454394,0.02927927927927928,0.10478571428571429,0.03111005722559863,0.09428571428571429,0.8292142857142857,0.05310038524339326,0.835,0.066,0.04287368101956679,0.08642857142857144,0.4576291079812206,0.09656594902875494,0.4436619718309859,0.5423708920187793,0.09656594902875493,0.556338028169014,0.0,0.0,0.0,0.04467391304347826,0.03651625626273355,0.03369565217391304,0.8632608695652173,0.07443916933543868,0.8554347826086957,0.09206521739130435,0.05979467321576897,0.12065217391304348,0.7089729119638826,0.06565836550879738,0.7076749435665914,0.27484716268626247,0.062016996884231256,0.2727674015105124,0.2910270880361174,0.06565836550879736,0.29232505643340856,0.9208070360598029,0.05592489338093791,0.936437074829932,0.3695598257967777,0.02396696666019834,0.3685978022320715,0.7645833333333333,0.050779738787680155,0.7593749999999999,0.2,0.1061004709769022,0.20833333333333331,0.17916666666666664,0.1123740360430655,0.16666666666666666,0.020833333333333332,0.037021804859943275,0.0,0.9791666666666666,0.03702180485994328,1.0,0.008333333333333333,0.037267799624996496,0.0,0.35,0.2156182461439093,0.3333333333333333,19.574166666666667,7.5199198915572625,20.166666666666664,20.875,8.114112138088412,22.5,26.40416666666667,2.176978665745513,25.75,32.12083333333333,1.565451889993124,32.125,0.2714860907759883,0.04998748615163435,0.29062957540263545,0.7576611158342362,0.06192247576916199,0.7773923122540298,0.24233888416576374,0.061922475769161996,0.22260768774597012,0.21021471471471473,0.04616672915434254,0.20687794937794937,0.7752414199914199,0.03159952192298366,0.7798455598455598,0.7692290883360112,0.03489035546788083,0.7621881301933005,0.2349397072072962,0.0385310730323554,0.24066893716307194,49.304538799414345,9.172049009960572,50.14641288433382,20.748431344502563,4.494145573272546,19.65569358178054,0.14166666666666666,0.08156008082159882,0.16666666666666666,56.46875,43.10277204929322,39.0,56.46875,43.10277204929322,39.0,58.375,44.14351594515327,39.0,38.665,7.822979159116852,37.6,5.15,0.489360484929593,5.0,4,8.36533784981185,False,False,True
2,5,20,0.9,0.5,0.95,0.5,20,0.2251101321585903,0.05409867177311101,0.22834067547723935,0.7566813509544787,0.05742624796625918,0.7547723935389135,0.018208516886930984,0.013360196257668568,0.023494860499265788,0.05564285714285714,0.024715241843385104,0.056428571428571425,0.8611428571428572,0.04875374892633019,0.855,0.08321428571428571,0.04466097376763358,0.1,0.2675736961451247,0.07570543897572614,0.25396825396825395,0.7324263038548753,0.07570543897572614,0.746031746031746,0.0,0.0,0.0,0.03206521739130434,0.029445130664150106,0.025,0.8583695652173914,0.06067013341052528,0.85,0.10956521739130434,0.057651963372537335,0.13043478260869565,0.7967258601553829,0.04660412700666618,0.7924528301886793,0.18856945676821452,0.046742843989667285,0.19864315291333925,0.2032741398446171,0.046604127006666184,0.20754716981132076,0.9182128851488705,0.07240149390049032,0.9308025535795714,0.35793219507013496,0.015531344752623435,0.3592162186806618,0.8338541666666666,0.05975276104487041,0.8270833333333333,0.23333333333333334,0.10678721258619792,0.25,0.2208333333333333,0.094725673480711,0.20833333333333331,0.0125,0.030528962377710266,0.0,0.9875,0.03052896237771028,1.0,0.09166666666666666,0.08506963092234006,0.16666666666666666,0.35,0.15198491768816524,0.3333333333333333,20.1,7.316146127029366,22.5,20.675,8.311809923868948,22.5,28.15416666666667,2.737314574883812,28.041666666666664,31.35,2.4213656675327737,31.583333333333336,0.19036929761042723,0.04436812875634807,0.19659666908037654,0.8034464249711497,0.05284783454449311,0.7987341772151899,0.19655357502885024,0.05284783454449309,0.2012658227848101,0.154162208936438,0.03811366798026124,0.16606880637717641,0.8044691629955947,0.037136279812746205,0.7958265156282778,0.8039493551132708,0.032743245656834674,0.8020563215223271,0.28850232374273393,0.04377779120080443,0.2806621973568739,54.05503258508328,9.011382961296347,55.03258508327299,18.744369440758316,3.2012128212161626,17.935064935064936,0.21666666666666665,0.10949111422196438,0.16666666666666666,66.22222222222223,37.72743666251635,59.75,66.22222222222223,37.72743666251635,59.75,87.83333333333333,58.529278746523396,91.5,38.26833333333333,9.185855354646687,38.75,4.7,0.6569466853317862,5.0,4,9.198537181826518,False,False,True
3,3,20,0.9,0.5,0.95,0.5,20,0.6973568281938326,0.05662181368187326,0.6989720998531571,0.27437591776798825,0.061132981864033945,0.27973568281938327,0.028267254038179153,0.015400089845701672,0.0315712187958884,0.2382857142857143,0.049916363992179816,0.24214285714285716,0.6007857142857143,0.058816605866637055,0.5878571428571429,0.16092857142857142,0.056622205130638176,0.18,0.7947845804988662,0.07712733639385352,0.7891156462585034,0.2052154195011338,0.07712733639385354,0.2108843537414966,0.0,0.0,0.0,0.16184782608695653,0.07290152860092172,0.1467391304347826,0.6392391304347826,0.07989793944956118,0.6282608695652174,0.19891304347826086,0.06890959646036186,0.21195652173913043,0.426803551609323,0.05199991386166879,0.42952275249722527,0.49684881198856357,0.05521596248058108,0.50559129448881,0.5731964483906771,0.05199991386166879,0.5704772475027746,0.8563550621079937,0.06295034587781412,0.8832204418410925,0.3668487050825664,0.03982633804992581,0.35676823176823175,0.4642708333333333,0.0690178693013247,0.46979166666666666,0.5416666666666667,0.08760958050630782,0.5416666666666667,0.4708333333333333,0.10215156151752079,0.5,0.07083333333333333,0.048928579051033316,0.08333333333333333,0.9208333333333334,0.05719439509610495,0.9166666666666666,0.2333333333333333,0.15672078199387574,0.16666666666666666,0.7083333333333333,0.15174424466672104,0.6666666666666666,15.302579365079364,4.081287777806922,16.0,15.875,5.583987916590757,16.75,15.35,2.3787251487579093,15.208333333333332,24.366666666666667,2.3274361568746604,23.75,0.5601737871107892,0.04588987059026577,0.5651701665459812,0.7594496819368521,0.04063109353750143,0.7602803329422458,0.24055031806314794,0.04063109353750142,0.23971966705775416,0.429142699811202,0.04237510594887862,0.4367369414726243,0.7919169813299769,0.03571893140982709,0.789692678833648,0.7955458826170231,0.03464843545597929,0.7992691469344626,0.32601202495938175,0.053207638376643766,0.3166901325053194,60.46343229543809,8.194087088398252,57.92903692976104,16.606643982578408,2.0864201429988922,17.051981707317072,0.5416666666666667,0.1417827182039001,0.5,58.89083333333333,23.850703077282684,53.33333333333333,48.25,27.817308129633023,38.0,99.35,49.30599942144332,93.0,16.858333333333334,4.607162933128984,16.583333333333332,2.75,0.8506963092234007,3.0,5,6.654839023728167,False,False,True
4,3,20,0.95,0.5,0.95,0.5,20,0.7625550660792951,0.044900266079906194,0.7665198237885462,0.20822320117474305,0.04563607884699355,0.20337738619676946,0.02922173274596182,0.01650990247457323,0.033773861967694566,0.2769285714285714,0.055775510990114456,0.2707142857142857,0.5708571428571428,0.062367195100506305,0.5514285714285714,0.15221428571428572,0.057395073086528504,0.16999999999999998,0.8700680272108844,0.06313772538274069,0.8684807256235827,0.12993197278911567,0.06313772538274066,0.13151927437641725,0.0,0.0,0.0,0.19152173913043477,0.07643073692247633,0.17608695652173914,0.6155434782608695,0.08134121889396005,0.6065217391304347,0.19293478260869565,0.0719723516432152,0.20543478260869566,0.37785793562708103,0.04203597289825157,0.3762486126526082,0.53150140490979,0.047213725611624124,0.5413524105294292,0.622142064372919,0.04203597289825161,0.6237513873473918,0.843488576381038,0.06023328411594002,0.8506809702126503,0.37078814068794536,0.041144440363454986,0.36392606375194503,0.41864583333333333,0.06380392384563362,0.42083333333333334,0.5208333333333334,0.059695866617614925,0.5,0.4375,0.07089135910195007,0.4166666666666667,0.08333333333333333,0.05407380704358751,0.08333333333333333,0.9,0.06945906278887422,0.9166666666666666,0.19166666666666665,0.1458489966525701,0.16666666666666666,0.6833333333333333,0.14204027103779843,0.6666666666666666,15.029166666666665,3.423604195149603,15.833333333333332,15.675,5.019108224418066,15.5,14.370833333333334,2.363754540199931,14.583333333333334,24.541666666666664,2.180371635257681,24.333333333333336,0.6079652425778421,0.03803772022212882,0.6129616220130341,0.7458611650130085,0.040208446937194546,0.7550664424842016,0.2541388349869915,0.040208446937194525,0.24493355751579837,0.45738467589679044,0.03407248998486214,0.46541273337528843,0.7900736312146004,0.03593974217880364,0.7881770505559051,0.790156986908306,0.03565499894193252,0.7942606187124273,0.3100824131515529,0.0541770732233058,0.30403936707407375,51.33960897900073,9.302586110982018,51.04996379435192,19.792694708555626,3.5243062507049774,19.315629890453835,0.4583333333333333,0.10644439560975086,0.5,59.025,22.720670638627855,55.166666666666664,52.7,27.828137975040566,41.0,90.6,42.51488903282806,88.0,16.383333333333333,4.382347631148619,16.25,3.25,0.6386663736585052,3.0,5,6.863926701730732,False,False,True
5,3,25,0.9,0.5,0.95,0.5,20,0.7947485207100592,0.04362981496204677,0.8010355029585798,0.17292899408284024,0.04184586769293577,0.16937869822485208,0.03232248520710059,0.01757067556757372,0.03698224852071006,0.3112142857142857,0.06187592831492318,0.3092857142857143,0.5348571428571429,0.06481635629194651,0.5142857142857142,0.15392857142857144,0.058961428524974636,0.1657142857142857,0.9113532110091743,0.05627094734814865,0.9174311926605505,0.08864678899082569,0.056270947348148644,0.08256880733944955,0.0,0.0,0.0,0.2132608695652174,0.07974033822442227,0.2,0.5892391304347826,0.08405477353922783,0.5717391304347826,0.19749999999999998,0.07579143328285032,0.21195652173913043,0.34564732142857146,0.04212859395475947,0.3387276785714286,0.5544266055045871,0.04247987187231256,0.5590546469884323,0.6543526785714285,0.0421285939547594,0.6612723214285714,0.8338391450428917,0.05794278879329063,0.8427268312985572,0.36917689739038034,0.050280231718956674,0.3627347644504445,0.3783333333333333,0.0664896223710207,0.38020833333333337,0.5125,0.062096651697549576,0.5,0.4,0.06945906278887423,0.4166666666666667,0.1125,0.048928579051033316,0.08333333333333333,0.8583333333333334,0.0720420604892181,0.8333333333333334,0.175,0.12652577575270804,0.16666666666666666,0.625,0.1417827182039001,0.6666666666666666,14.260833333333332,2.601705912926686,14.025,15.0,4.397966037062803,14.75,12.925,2.352661178300658,13.208333333333334,24.391666666666666,1.7176628007487447,24.208333333333336,0.6429505813953489,0.03608934742584273,0.6424418604651163,0.7297498496517838,0.04067735859675289,0.7344519964988128,0.2702501503482162,0.04067735859675289,0.26554800350118724,0.4743385460693153,0.03067106827901084,0.47596576500422655,0.7850635038038885,0.03527072872789552,0.7854585798816568,0.7831755460607938,0.035826576904114324,0.785868847483423,0.29945770688487533,0.054885071618103805,0.29554184058035027,46.32994186046511,8.112835839533975,45.78488372093023,21.879955806373307,3.930545161357382,21.5,0.4583333333333333,0.10644439560975086,0.5,59.4625,21.643213943296907,56.33333333333333,52.9,27.0192913538301,41.25,91.65,42.56422391979838,88.0,15.883333333333335,3.4101242453055955,15.75,3.25,0.6386663736585052,3.0,5,6.996507344212116,False,False,True
6,5,20,0.98,0.5,0.95,0.5,20,0.6785609397944199,0.060716887658491946,0.6813509544787077,0.29919236417033773,0.05767427510292659,0.2922173274596182,0.02224669603524229,0.015513162657105476,0.02936857562408223,0.2275714285714286,0.0579197192461343,0.21714285714285714,0.6970714285714286,0.05372979099518887,0.6928571428571428,0.07535714285714286,0.045690489577250186,0.09142857142857143,0.8179138321995465,0.07501270593330683,0.8401360544217686,0.18208616780045353,0.07501270593330683,0.1598639455782313,0.0,0.0,0.0,0.12065217391304348,0.06742082471472306,0.09891304347826088,0.7788043478260869,0.06940010081143651,0.7771739130434783,0.10054347826086955,0.05993012795574826,0.12826086956521737,0.4867369589345172,0.03998881440136327,0.48723640399556045,0.459228655230208,0.03177723253403666,0.4584306911170265,0.5132630410654828,0.03998881440136323,0.5127635960044394,0.8823666716348816,0.05900822482411134,0.8988372093023256,0.36601811203695184,0.02738613074112598,0.3650526889534884,0.5273958333333333,0.054541864353038594,0.5177083333333333,0.38333333333333336,0.06839855680567695,0.375,0.32916666666666666,0.07392010069358473,0.3333333333333333,0.05416666666666666,0.05590169943749474,0.08333333333333333,0.9291666666666666,0.06772730840727074,0.9166666666666666,0.05,0.07836039099693787,0.0,0.6083333333333333,0.1458489966525701,0.6666666666666666,16.798333333333332,3.539034212591725,17.425,18.65,4.059102830610932,19.25,18.2,2.0117345807515985,17.916666666666668,28.054166666666667,1.6368550915225435,27.75,0.4991310644460536,0.035239285301208186,0.497103548153512,0.7481307432372883,0.04400506146551483,0.7562855743547743,0.2518692567627117,0.044005061465514854,0.24371442564522566,0.3769590413257814,0.026426651676179434,0.3752003356408643,0.7889252150199286,0.035089144418365976,0.7820474092720788,0.7782783944206574,0.03490191153637374,0.7745618397661576,0.2495897319914647,0.04494971416920242,0.23531660827569956,43.98986241853729,8.124327318903,44.89500362056481,23.11302939175286,4.47431814879286,21.926159274193548,0.18333333333333332,0.1067872125861979,0.16666666666666666,59.75,42.108490830235176,39.0,59.583333333333336,41.95384368565055,39.0,67.44444444444444,52.65450343537715,39.0,24.441666666666666,4.917231605961495,23.5,4.9,0.6407232755171874,5.0,5,7.099519061452855,False,False,True
7,3,25,0.95,0.5,0.95,0.5,20,0.8222633136094675,0.03762987904303174,0.8232248520710059,0.14474852071005917,0.03330097495606154,0.14053254437869822,0.03298816568047337,0.018433263569174265,0.038461538461538464,0.34557142857142853,0.0697084614848002,0.3414285714285714,0.5065,0.06746200744848609,0.48857142857142855,0.14792857142857144,0.057040274463299616,0.1607142857142857,0.9450688073394495,0.045407326189319835,0.9529816513761468,0.054931192660550465,0.045407326189319856,0.047018348623853214,0.0,0.0,0.0,0.2366304347826087,0.08667079774280946,0.2326086956521739,0.5697826086956522,0.08763720995728697,0.5565217391304348,0.19358695652173913,0.07437088980791351,0.20760869565217394,0.31925223214285714,0.04005678565183662,0.3113839285714286,0.5693278819305944,0.03886654263670483,0.5722028320702035,0.6807477678571429,0.04005678565183658,0.6886160714285714,0.8230715623474593,0.059815816633417666,0.8267125430090709,0.3670271374276345,0.055829525859403296,0.3575523162788354,0.3465625,0.06593719253136372,0.3520833333333333,0.5083333333333334,0.06567241047103439,0.5,0.4,0.07928776518229241,0.4166666666666667,0.10833333333333332,0.05474555711098219,0.08333333333333333,0.8291666666666666,0.0875052212310217,0.8333333333333334,0.175,0.12652577575270804,0.16666666666666666,0.625,0.15174424466672098,0.6666666666666666,14.314761904761905,2.991799628934412,14.016666666666666,14.5,5.462792808001956,14.5,11.975,2.4620066222874253,12.583333333333332,24.525,1.8050246632907037,24.416666666666668,0.6712209302325581,0.03305342831143401,0.670421511627907,0.7148988481801897,0.042974807757902994,0.721354074519656,0.2851011518198103,0.04297480775790299,0.27864592548034395,0.48509594251901944,0.02706458414472826,0.4877704987320372,0.7819075443786982,0.03505909142232222,0.7831899830938293,0.7770278160110509,0.03656292782774335,0.7782195463108799,0.28227278223234353,0.05508153550314875,0.27806256607073737,37.02761627906977,6.984529233357468,34.883720930232556,27.29912207061892,4.751931476143983,28.081632653061224,0.4416666666666667,0.1118033988749895,0.5,57.55833333333334,22.544694076304346,54.25,52.85,25.958519542572247,42.25,84.45,36.79884866620007,86.5,16.091666666666665,3.653675150483846,16.25,3.35,0.6708203932499369,3.0,5,7.203250175593772,False,False,True
8,5,25,0.95,0.5,0.95,0.5,20,0.6225591715976331,0.06562144885449644,0.6205621301775148,0.355103550295858,0.06271409808887399,0.35133136094674555,0.022337278106508877,0.015491894131015779,0.028846153846153848,0.1945,0.04876184479750385,0.18571428571428572,0.7295,0.04786140705949089,0.73,0.076,0.042697949952926306,0.09071428571428572,0.7518348623853212,0.08438503562700063,0.7729357798165137,0.2481651376146789,0.08438503562700064,0.22706422018348624,0.0,0.0,0.0,0.10500000000000001,0.0582558316070352,0.0891304347826087,0.7907608695652174,0.06513295449324255,0.8,0.10423913043478261,0.05807355300351353,0.12717391304347825,0.5267299107142857,0.04499461250001211,0.5284598214285714,0.4280369964100519,0.03753253711083745,0.43032010370961304,0.47327008928571423,0.04499461250001213,0.4715401785714286,0.8882133066650978,0.054296578106950946,0.8995890591491248,0.371500753749041,0.029699313279548636,0.36736718019592696,0.5807291666666667,0.05943076021306579,0.5708333333333333,0.37916666666666665,0.06879816229015806,0.4166666666666667,0.325,0.07599245884408262,0.3333333333333333,0.05416666666666666,0.05590169943749474,0.08333333333333333,0.9416666666666667,0.06105792475542053,0.9166666666666666,0.05,0.07836039099693787,0.0,0.6,0.15672078199387576,0.6666666666666666,17.6325,3.8779948811525795,18.1,19.1,4.134578193976413,19.5,19.875,2.356634903877866,19.75,28.42083333333333,1.7969831362071444,28.0,0.4544331395348837,0.03713558369810572,0.44694767441860467,0.7587061686429435,0.04311792829345086,0.7687806538784803,0.24129383135705657,0.04311792829345086,0.23121934612151968,0.34927958579881657,0.03161451698678599,0.34638841927303465,0.7903365384615384,0.033732593110086785,0.7845097210481826,0.7831455094659314,0.0334253537286105,0.7789156972353519,0.26052399165970574,0.04406590074408907,0.2503985578912641,50.763081395348834,8.525173796824395,52.325581395348834,19.956676646404343,3.443711943876696,18.84931506849315,0.19166666666666665,0.09785715810206662,0.16666666666666666,64.47222222222223,40.1513578344209,41.0,64.47222222222223,40.1513578344209,41.0,76.05555555555556,51.2484975070687,41.0,24.625,5.038412390347249,23.25,4.85,0.5871429486123998,5.0,5,7.217892836856522,False,False,True
9,5,35,0.9,0.5,0.95,0.5,20,0.7443693693693694,0.049500133411246504,0.7567567567567568,0.22935435435435436,0.0489675020908926,0.21171171171171171,0.026276276276276277,0.017608350532894494,0.03528528528528528,0.29578571428571426,0.05922426383183839,0.2978571428571429,0.633,0.05399785172955578,0.6264285714285714,0.07121428571428572,0.04072984796896068,0.08499999999999999,0.9084507042253522,0.05426654597680552,0.9131455399061033,0.09154929577464789,0.05426654597680548,0.08685446009389672,0.0,0.0,0.0,0.15847826086956524,0.06945751101382197,0.14782608695652172,0.7421739130434782,0.07115391286142313,0.7347826086956522,0.09934782608695653,0.05777995785734891,0.11847826086956523,0.4293453724604966,0.03830721792386257,0.4288939051918736,0.5038992651561542,0.027800799805057737,0.5079225352112676,0.5706546275395035,0.03830721792386254,0.5711060948081265,0.8579070510935111,0.054591964553832945,0.8595712690093651,0.3616421789518978,0.025573081019907944,0.36383849330169465,0.44885416666666667,0.048182780305649195,0.4552083333333333,0.37083333333333335,0.06879816229015805,0.4166666666666667,0.30416666666666664,0.08666582320777148,0.3333333333333333,0.06666666666666667,0.0512989176042577,0.08333333333333333,0.8666666666666666,0.07354832917984064,0.8333333333333334,0.008333333333333333,0.037267799624996496,0.0,0.6,0.16578715305161335,0.6666666666666666,15.683333333333334,3.76084785762295,15.075,17.7,5.482988044372963,18.0,15.55,1.7955435411560299,15.791666666666666,27.9625,1.4151113753617994,27.833333333333332,0.5637994143484627,0.03553839535094261,0.5625915080527086,0.7093093579320854,0.040497556029194554,0.7066738183596342,0.29069064206791456,0.040497556029194554,0.2933261816403659,0.4077918275418275,0.02691177843554425,0.41748176748176746,0.7720579150579151,0.031354353560242625,0.7750782925782926,0.7607268245184912,0.03478219633599361,0.7568154791048645,0.23163837792336434,0.04395799051994854,0.22137757122622373,32.320644216691065,8.587583561076407,32.57686676427526,32.74763319985895,10.735829359385328,30.0256038647343,0.20833333333333331,0.1417827182039001,0.16666666666666666,61.088235294117645,35.5804603468917,43.0,59.794117647058826,34.28559228357145,43.0,74.29411764705883,52.22399437265685,44.0,22.45,3.135861242305557,22.416666666666664,4.75,0.8506963092234009,5.0,5,7.229571277106677,False,False,True
10,5,25,0.98,0.5,0.95,0.5,20,0.7550295857988166,0.0489600394455479,0.764792899408284,0.22056213017751478,0.047344333404467816,0.20414201183431951,0.02440828402366864,0.016876740077000824,0.03180473372781065,0.2987857142857143,0.06387130421097703,0.30428571428571427,0.6265714285714286,0.05951540792837408,0.6221428571428571,0.07464285714285715,0.04467780586904141,0.09357142857142858,0.9123853211009175,0.05356014433569996,0.9220183486238532,0.08761467889908257,0.05356014433569997,0.0779816513761468,0.0,0.0,0.0,0.16434782608695653,0.07490716570716827,0.15652173913043477,0.7339130434782609,0.07517564746871862,0.7369565217391304,0.1017391304347826,0.06052780815989236,0.12826086956521737,0.4194196428571429,0.03576674659686089,0.4224330357142857,0.50706222576785,0.026503185432499167,0.5075438771439968,0.5805803571428572,0.03576674659686092,0.5775669642857142,0.8567925606154632,0.05758768306321295,0.8608739974010844,0.3602848813776618,0.02896381100968126,0.358119352359753,0.4414583333333334,0.0552931944618971,0.44270833333333337,0.39166666666666666,0.06105792475542055,0.4166666666666667,0.32083333333333336,0.06772730840727074,0.3333333333333333,0.07083333333333333,0.055901699437494734,0.08333333333333333,0.8625,0.09078523593805042,0.8333333333333334,0.041666666666666664,0.07404360971988655,0.0,0.6,0.15672078199387576,0.6666666666666666,16.383333333333333,3.378899090580759,16.4,18.4,4.153628724253935,18.0,15.375,1.9405453806260258,15.583333333333332,27.74583333333333,1.5677849219212143,27.416666666666664,0.5728924418604651,0.035641363708790494,0.5715843023255813,0.7148703812689872,0.04262719318122078,0.7169672248461428,0.28512961873101283,0.042627193181220775,0.28303277515385716,0.4148362214708369,0.02588595064428135,0.4207988165680473,0.7768898985629755,0.032806075301040634,0.7762975486052408,0.7652887646607673,0.03603861685536007,0.7677981412457717,0.23202324520199932,0.0449530145492336,0.22244889607057253,30.087209302325583,7.952000073696571,29.433139534883722,34.56824162758312,9.042899676247282,33.2,0.175,0.08506963092234006,0.16666666666666666,60.861111111111114,42.37223201285995,37.0,60.861111111111114,42.37223201285995,37.0,68.27777777777777,52.52988567367046,37.0,22.591666666666665,4.191496194782621,22.083333333333336,4.95,0.5104177855340405,5.0,5,7.264817488622892,False,False,True
